"0","A","028","20-29 YEARS","575","86195"
"0","A","028","30-39 YEARS","523","96755"
"0","A","028","40-49 YEARS","573","112613"
"0","A","028","50-59 YEARS","502","81938"
"0","C","028","10-14 YEARS","1466","44352"
"0","C","028","15-19 YEARS","901","46466"
"0","C","028","5-9 YEARS","1952","43658"
"0","A","029","20-29 YEARS","400","59756"
"0","A","029","30-39 YEARS","324","54860"
"0","A","029","40-49 YEARS","334","56099"
"0","A","029","50-59 YEARS","312","42117"
"0","C","029","10-14 YEARS","703","24235"
"0","C","029","15-19 YEARS","464","26328"
"0","C","029","5-9 YEARS","1083","24268"
"0","A","030","20-29 YEARS","431","49047"
"0","A","030","30-39 YEARS","470","56152"
"0","A","030","40-49 YEARS","519","61852"
"0","A","030","50-59 YEARS","357","45554"
"0","C","030","10-14 YEARS","889","24884"
"0","C","030","15-19 YEARS","683","24257"
"0","C","030","5-9 YEARS","1549","26117"
"0","A","031","20-29 YEARS","116","20423"
"0","A","031","30-39 YEARS","95","22616"
"0","A","031","40-49 YEARS","63","22778"
"0","A","031","50-59 YEARS","56","17623"
"0","C","031","10-14 YEARS","144","8890"
"0","C","031","15-19 YEARS","97","9526"
"0","C","031","5-9 YEARS","235","9308"
"0","A","032","20-29 YEARS","92","18193"
"0","A","032","30-39 YEARS","102","24388"
"0","A","032","40-49 YEARS","134","31826"
"0","A","032","50-59 YEARS","103","24411"
"0","C","032","10-14 YEARS","193","11783"
"0","C","032","15-19 YEARS","164","12270"
"0","C","032","5-9 YEARS","340","12277"
"0","A","033","20-29 YEARS","58","6712"
"0","A","033","30-39 YEARS","49","9200"
"0","A","033","40-49 YEARS","52","10860"
"0","A","033","50-59 YEARS","36","7948"
"0","C","033","10-14 YEARS","98","4368"
"0","C","033","15-19 YEARS","97","4145"
"0","C","033","5-9 YEARS","173","3860"
"0","A","034","20-29 YEARS","91","11003"
"0","A","034","30-39 YEARS","64","10335"
"0","A","034","40-49 YEARS","75","12199"
"0","A","034","50-59 YEARS","50","9979"
"0","C","034","10-14 YEARS","64","5345"
"0","C","034","15-19 YEARS","75","6451"
"0","C","034","5-9 YEARS","78","5521"
"0","A","035","20-29 YEARS","4","4325"
"0","A","035","30-39 YEARS","10","5905"
"0","A","035","40-49 YEARS","13","7694"
"0","A","035","50-59 YEARS","11","6617"
"0","C","035","10-14 YEARS","8","3342"
"0","C","035","15-19 YEARS","10","3080"
"0","C","035","5-9 YEARS","11","3021"
"0","A","036","20-29 YEARS","8","1062"
"0","A","036","30-39 YEARS","12","1714"
"0","A","036","40-49 YEARS","7","2203"
"0","A","036","50-59 YEARS","11","1961"
"0","C","036","10-14 YEARS","24","983"
"0","C","036","15-19 YEARS","17","824"
"0","C","036","5-9 YEARS","31","850"
"0","A","037","20-29 YEARS","59","10259"
"0","A","037","30-39 YEARS","64","10197"
"0","A","037","40-49 YEARS","66","11597"
"0","A","037","50-59 YEARS","60","9120"
"0","C","037","10-14 YEARS","165","4857"
"0","C","037","15-19 YEARS","128","6010"
"0","C","037","5-9 YEARS","254","4800"
"0","A","038","20-29 YEARS","466","39567"
"0","A","038","30-39 YEARS","491","46877"
"0","A","038","40-49 YEARS","532","48373"
"0","A","038","50-59 YEARS","399","35718"
"0","C","038","10-14 YEARS","1082","19154"
"0","C","038","15-19 YEARS","931","20682"
"0","C","038","5-9 YEARS","1698","19744"
"0","A","039","20-29 YEARS","37","5493"
"0","A","039","30-39 YEARS","42","6566"
"0","A","039","40-49 YEARS","53","8087"
"0","A","039","50-59 YEARS","39","6693"
"0","C","039","10-14 YEARS","75","3535"
"0","C","039","15-19 YEARS","63","3040"
"0","C","039","5-9 YEARS","126","3546"
"0","A","040","20-29 YEARS","167","40343"
"0","A","040","30-39 YEARS","188","46227"
"0","A","040","40-49 YEARS","204","51541"
"0","A","040","50-59 YEARS","164","42033"
"0","C","040","10-14 YEARS","183","22047"
"0","C","040","15-19 YEARS","198","22557"
"0","C","040","5-9 YEARS","321","22003"
"0","A","041","20-29 YEARS","66","13388"
"0","A","041","30-39 YEARS","61","17749"
"0","A","041","40-49 YEARS","54","18430"
"0","A","041","50-59 YEARS","49","14082"
"0","C","041","10-14 YEARS","51","6723"
"0","C","041","15-19 YEARS","50","6381"
"0","C","041","5-9 YEARS","66","6236"
"0","A","042","20-29 YEARS","95","21773"
"0","A","042","30-39 YEARS","137","23503"
"0","A","042","40-49 YEARS","96","26779"
"0","A","042","50-59 YEARS","66","20390"
"0","C","042","10-14 YEARS","117","12601"
"0","C","042","15-19 YEARS","115","12422"
"0","C","042","5-9 YEARS","202","12485"
"0","A","043","20-29 YEARS","17","8255"
"0","A","043","30-39 YEARS","23","11372"
"0","A","043","40-49 YEARS","24","13804"
"0","A","043","50-59 YEARS","16","12380"
"0","C","043","10-14 YEARS","12","5496"
"0","C","043","15-19 YEARS","31","5287"
"0","C","043","5-9 YEARS","21","4824"
"0","A","044","20-29 YEARS","30","24701"
"0","A","044","30-39 YEARS","34","21368"
"0","A","044","40-49 YEARS","23","27421"
"0","A","044","50-59 YEARS","19","24393"
"0","C","044","10-14 YEARS","46","12103"
"0","C","044","15-19 YEARS","34","13409"
"0","C","044","5-9 YEARS","73","9964"
"0","A","045","20-29 YEARS","5","5466"
"0","A","045","30-39 YEARS","14","6054"
"0","A","045","40-49 YEARS","10","7944"
"0","A","045","50-59 YEARS","25","7699"
"0","C","045","10-14 YEARS","5","2814"
"0","C","045","15-19 YEARS","7","3323"
"0","C","045","5-9 YEARS","7","2724"
"0","A","046","20-29 YEARS","15","8359"
"0","A","046","30-39 YEARS","16","8521"
"0","A","046","40-49 YEARS","11","12070"
"0","A","046","50-59 YEARS","14","10519"
"0","C","046","10-14 YEARS","17","4938"
"0","C","046","15-19 YEARS","15","4838"
"0","C","046","5-9 YEARS","22","3909"
"0","A","047","20-29 YEARS","2","8743"
"0","A","047","30-39 YEARS","4","8352"
"0","A","047","40-49 YEARS","2","10473"
"0","A","047","50-59 YEARS","4","11212"
"0","C","047","10-14 YEARS","8","5049"
"0","C","047","15-19 YEARS","6","5154"
"0","C","047","5-9 YEARS","18","3976"
"0","A","048","20-29 YEARS","19","3957"
"0","A","048","30-39 YEARS","19","5309"
"0","A","048","40-49 YEARS","27","7022"
"0","A","048","50-59 YEARS","19","5921"
"0","C","048","10-14 YEARS","18","2547"
"0","C","048","15-19 YEARS","19","2664"
"0","C","048","5-9 YEARS","16","2398"
"0","A","049","20-29 YEARS","44","18735"
"0","A","049","30-39 YEARS","61","20855"
"0","A","049","40-49 YEARS","61","23786"
"0","A","049","50-59 YEARS","61","18978"
"0","C","049","10-14 YEARS","53","11446"
"0","C","049","15-19 YEARS","67","12332"
"0","C","049","5-9 YEARS","62","11039"
"0","A","050","20-29 YEARS","59","6959"
"0","A","050","30-39 YEARS","33","8375"
"0","A","050","40-49 YEARS","43","10238"
"0","A","050","50-59 YEARS","35","7708"
"0","C","050","10-14 YEARS","92","4479"
"0","C","050","15-19 YEARS","74","4058"
"0","C","050","5-9 YEARS","114","4519"
"0","A","051","20-29 YEARS","12","2816"
"0","A","051","30-39 YEARS","26","4054"
"0","A","051","40-49 YEARS","8","4998"
"0","A","051","50-59 YEARS","13","4835"
"0","C","051","10-14 YEARS","26","2164"
"0","C","051","15-19 YEARS","32","1887"
"0","C","051","5-9 YEARS","47","1788"
"0","A","052","20-29 YEARS","14","4359"
"0","A","052","30-39 YEARS","21","4509"
"0","A","052","40-49 YEARS","27","5276"
"0","A","052","50-59 YEARS","18","4626"
"0","C","052","10-14 YEARS","26","2345"
"0","C","052","15-19 YEARS","26","2453"
"0","C","052","5-9 YEARS","37","2487"
"0","A","053","20-29 YEARS","31","4224"
"0","A","053","30-39 YEARS","42","5082"
"0","A","053","40-49 YEARS","38","6029"
"0","A","053","50-59 YEARS","28","4452"
"0","C","053","10-14 YEARS","94","2380"
"0","C","053","15-19 YEARS","77","2211"
"0","C","053","5-9 YEARS","130","2528"
"0","A","054","20-29 YEARS","140","32060"
"0","A","054","30-39 YEARS","134","33659"
"0","A","054","40-49 YEARS","93","35833"
"0","A","054","50-59 YEARS","83","26755"
"0","C","054","10-14 YEARS","211","15181"
"0","C","054","15-19 YEARS","234","17683"
"0","C","054","5-9 YEARS","363","15393"
"0","A","056","20-29 YEARS","49","9581"
"0","A","056","30-39 YEARS","61","11752"
"0","A","056","40-49 YEARS","58","14522"
"0","A","056","50-59 YEARS","31","11584"
"0","C","056","10-14 YEARS","52","6257"
"0","C","056","15-19 YEARS","68","5976"
"0","C","056","5-9 YEARS","82","5965"
"0","A","057","20-29 YEARS","169","11426"
"0","A","057","30-39 YEARS","145","11334"
"0","A","057","40-49 YEARS","176","13249"
"0","A","057","50-59 YEARS","128","10464"
"0","C","057","10-14 YEARS","72","5559"
"0","C","057","15-19 YEARS","100","6642"
"0","C","057","5-9 YEARS","105","5620"
"0","A","058","20-29 YEARS","27","5935"
"0","A","058","30-39 YEARS","9","6915"
"0","A","058","40-49 YEARS","10","9462"
"0","A","058","50-59 YEARS","14","7780"
"0","C","058","10-14 YEARS","54","4597"
"0","C","058","15-19 YEARS","52","4376"
"0","C","058","5-9 YEARS","82","3674"
"0","A","059","30-39 YEARS","3","520"
"0","A","059","40-49 YEARS","2","593"
"0","A","059","50-59 YEARS","2","478"
"0","C","059","15-19 YEARS","1","279"
"0","C","059","5-9 YEARS","2","206"
"0","A","060","20-29 YEARS","429","76203"
"0","A","060","30-39 YEARS","491","94829"
"0","A","060","40-49 YEARS","541","110027"
"0","A","060","50-59 YEARS","438","82345"
"0","C","060","10-14 YEARS","829","43259"
"0","C","060","15-19 YEARS","540","39908"
"0","C","060","5-9 YEARS","1125","41929"
"0","A","061","20-29 YEARS","185","35977"
"0","A","061","30-39 YEARS","211","43937"
"0","A","061","40-49 YEARS","224","42486"
"0","A","061","50-59 YEARS","170","33502"
"0","C","061","10-14 YEARS","219","18983"
"0","C","061","15-19 YEARS","164","17520"
"0","C","061","5-9 YEARS","309","18762"
"0","A","062","20-29 YEARS","109","22612"
"0","A","062","30-39 YEARS","127","21293"
"0","A","062","40-49 YEARS","113","23686"
"0","A","062","50-59 YEARS","93","17927"
"0","C","062","10-14 YEARS","157","9983"
"0","C","062","15-19 YEARS","122","12330"
"0","C","062","5-9 YEARS","276","9893"
"0","A","063","20-29 YEARS","176","35324"
