"1","A","127024"
"1","C","162346"
"1","O","162942"
"2","A","226263"
"2","C","298576"
"2","O","346993"
"3","A","220555"
"3","C","390122"
"3","O","368000"
"4","A","373881"
"4","C","470779"
"4","O","641051"
"5","A","485695"
"5","C","584125"
"5","O","693312"
"6","A","349902"
"6","C","533052"
"6","O","598844"
"7","A","344353"
"7","C","593351"
"7","O","612438"
"8","A","677522"
"8","C","779548"
"8","O","924928"
"9","A","483654"
"9","C","906461"
"9","O","924179"
"10","A","1095084"
"10","C","1770074"
"10","O","1736356"
