"1","A","101061"
"1","C","133950"
"1","O","128009"
"2","A","179340"
"2","C","248693"
"2","O","273570"
"3","A","175002"
"3","C","335220"
"3","O","293994"
"4","A","305297"
"4","C","423674"
"4","O","515205"
"5","A","396213"
"5","C","529804"
"5","O","560485"
"6","A","278815"
"6","C","474835"
"6","O","481541"
"7","A","275661"
"7","C","531703"
"7","O","505674"
"8","A","525786"
"8","C","689708"
"8","O","734621"
"9","A","364148"
"9","C","798035"
"9","O","746629"
"10","A","815707"
"10","C","1537546"
"10","O","1394917"
