"1","A","30061794"
"1","C","6964171"
"1","O","29369554"
"2","A","56966888"
"2","C","12888807"
"2","O","55619440"
"3","A","69996600"
"3","C","16039005"
"3","O","67988373"
"4","A","87970781"
"4","C","19962229"
"4","O","86593814"
"5","A","106032249"
"5","C","23937588"
"5","O","100464707"
"6","A","101585825"
"6","C","22991027"
"6","O","100212350"
"7","A","109102502"
"7","C","25003638"
"7","O","106278502"
"8","A","135418638"
"8","C","31115435"
"8","O","131804490"
"9","A","164544035"
"9","C","37340033"
"9","O","163035077"
"10","A","225860350"
"10","C","54762162"
"10","O","228426480"
