"1","A","97229"
"1","C","124949"
"1","O","103225"
"2","A","136528"
"2","C","169927"
"2","O","186345"
"3","A","118610"
"3","C","250042"
"3","O","181448"
"4","A","249794"
"4","C","293428"
"4","O","380819"
"5","A","323104"
"5","C","365866"
"5","O","377096"
"6","A","185446"
"6","C","307400"
"6","O","288752"
"7","A","189185"
"7","C","349185"
"7","O","292112"
"8","A","495843"
"8","C","508305"
"8","O","514326"
"9","A","243383"
"9","C","516939"
"9","O","417557"
"10","A","783449"
"10","C","1467152"
"10","O","915493"
