"1","032","A","20-29 YEARS","1","21761"
"1","032","A","30-39 YEARS","2","24388"
"1","032","A","40-49 YEARS","1","27862"
"1","032","C","5-9 YEARS","7","12277"
"1","032","A","50-59 YEARS","1","19495"
"1","034","C","10-14 YEARS","9","5345"
"1","034","C","15-19 YEARS","10","6451"
"1","034","A","20-29 YEARS","8","10925"
"1","034","A","30-39 YEARS","8","10335"
"1","034","A","40-49 YEARS","10","12124"
"1","034","C","5-9 YEARS","6","5521"
"1","034","A","50-59 YEARS","4","9979"
"1","035","C","10-14 YEARS","1","3113"
"1","035","A","30-39 YEARS","2","5794"
"1","035","C","5-9 YEARS","1","3021"
"1","035","A","50-59 YEARS","1","5781"
"1","036","C","10-14 YEARS","1","830"
"1","036","C","15-19 YEARS","1","824"
"1","036","A","40-49 YEARS","2","1941"
"1","036","C","5-9 YEARS","2","850"
"1","037","C","10-14 YEARS","13","4736"
"1","037","C","15-19 YEARS","23","6010"
"1","037","A","20-29 YEARS","7","10259"
"1","037","A","30-39 YEARS","13","10027"
"1","037","A","40-49 YEARS","13","11212"
"1","037","C","5-9 YEARS","42","4716"
"1","037","A","50-59 YEARS","7","9120"
"1","038","C","10-14 YEARS","35","18933"
"1","038","C","15-19 YEARS","20","20441"
"1","038","A","20-29 YEARS","8","39567"
"1","038","A","30-39 YEARS","8","46877"
"1","038","A","40-49 YEARS","4","47004"
"1","038","C","5-9 YEARS","50","19686"
"1","038","A","50-59 YEARS","2","35718"
"1","039","C","10-14 YEARS","5","3535"
"1","039","C","5-9 YEARS","6","3546"
"1","040","C","10-14 YEARS","1","22047"
"1","040","C","5-9 YEARS","1","22003"
"1","040","A","50-59 YEARS","2","39923"
"1","042","C","10-14 YEARS","41","12420"
"1","042","C","15-19 YEARS","25","12261"
"1","042","A","20-29 YEARS","16","21475"
"1","042","A","30-39 YEARS","25","23736"
"1","042","A","40-49 YEARS","14","25944"
"1","042","C","5-9 YEARS","68","12334"
"1","042","A","50-59 YEARS","5","19408"
"1","043","C","15-19 YEARS","1","5287"
"1","043","A","30-39 YEARS","1","10208"
"1","043","A","50-59 YEARS","1","10036"
"1","044","C","15-19 YEARS","2","14027"
"1","044","A","30-39 YEARS","5","23066"
"1","044","C","5-9 YEARS","1","10945"
"1","045","A","20-29 YEARS","1","5350"
"1","046","A","20-29 YEARS","1","8703"
"1","046","C","5-9 YEARS","1","4923"
"1","048","A","20-29 YEARS","1","4616"
"1","048","A","30-39 YEARS","1","5023"
"1","049","C","10-14 YEARS","2","11446"
"1","049","C","15-19 YEARS","2","12058"
"1","049","A","20-29 YEARS","1","19521"
"1","049","A","30-39 YEARS","4","20686"
"1","049","A","40-49 YEARS","4","24096"
"1","049","C","5-9 YEARS","6","11039"
"1","049","A","50-59 YEARS","1","18978"
"1","050","C","10-14 YEARS","30","4287"
"1","050","C","15-19 YEARS","18","4058"
"1","050","A","20-29 YEARS","5","6959"
"1","050","A","30-39 YEARS","13","8375"
"1","050","A","40-49 YEARS","10","10238"
"1","050","C","5-9 YEARS","40","4392"
"1","050","A","50-59 YEARS","4","7708"
"1","051","C","10-14 YEARS","1","2034"
"1","051","C","15-19 YEARS","1","1887"
"1","051","A","20-29 YEARS","3","3564"
"1","051","A","30-39 YEARS","2","4054"
"1","051","A","40-49 YEARS","1","4734"
"1","052","C","10-14 YEARS","10","2345"
"1","052","C","15-19 YEARS","9","2403"
"1","052","A","20-29 YEARS","6","4359"
"1","052","A","30-39 YEARS","6","4497"
"1","052","A","40-49 YEARS","2","5276"
"1","052","C","5-9 YEARS","5","2430"
"1","052","A","50-59 YEARS","2","4290"
"1","053","C","10-14 YEARS","18","2380"
"1","053","C","15-19 YEARS","8","2211"
"1","053","A","20-29 YEARS","2","4224"
"1","053","A","30-39 YEARS","5","5082"
"1","053","A","40-49 YEARS","2","6029"
"1","053","C","5-9 YEARS","20","2441"
"1","053","A","50-59 YEARS","4","4110"
"1","054","C","10-14 YEARS","47","14804"
"1","054","C","15-19 YEARS","40","17524"
"1","054","A","20-29 YEARS","30","31758"
"1","054","A","30-39 YEARS","36","33799"
"1","054","A","40-49 YEARS","33","34595"
"1","054","C","5-9 YEARS","48","15109"
"1","054","A","50-59 YEARS","11","26755"
"1","056","C","10-14 YEARS","2","5816"
"1","056","C","15-19 YEARS","1","5856"
"1","056","A","20-29 YEARS","1","10667"
"1","056","C","5-9 YEARS","4","5965"
"1","057","C","10-14 YEARS","44","5559"
"1","057","C","15-19 YEARS","19","6608"
"1","057","A","20-29 YEARS","32","11322"
"1","057","A","30-39 YEARS","42","11354"
"1","057","A","40-49 YEARS","29","13108"
"1","057","C","5-9 YEARS","37","5601"
"1","057","A","50-59 YEARS","7","9955"
"1","058","C","10-14 YEARS","1","4491"
"1","060","C","10-14 YEARS","44","41052"
"1","060","C","15-19 YEARS","24","37432"
"1","060","A","20-29 YEARS","11","73611"
"1","060","A","30-39 YEARS","11","94829"
"1","060","A","40-49 YEARS","23","105162"
"1","060","C","5-9 YEARS","71","40099"
"1","060","A","50-59 YEARS","7","76989"
"1","061","C","10-14 YEARS","5","18983"
"1","061","C","15-19 YEARS","2","17520"
"1","061","A","20-29 YEARS","2","35977"
"1","061","A","30-39 YEARS","5","43937"
"1","061","C","5-9 YEARS","4","18762"
"1","061","A","50-59 YEARS","2","32536"
"1","062","C","10-14 YEARS","4","9983"
"1","062","C","15-19 YEARS","7","12330"
"1","062","A","20-29 YEARS","3","22612"
"1","062","A","30-39 YEARS","8","20552"
"1","062","A","40-49 YEARS","5","22297"
"1","062","C","5-9 YEARS","6","9893"
"1","062","A","50-59 YEARS","1","17927"
"1","063","C","10-14 YEARS","66","16320"
"1","063","C","15-19 YEARS","20","16662"
"1","063","A","20-29 YEARS","6","35324"
"1","063","A","30-39 YEARS","13","37355"
"1","063","A","40-49 YEARS","8","37124"
"1","063","C","5-9 YEARS","112","16369"
"1","063","A","50-59 YEARS","14","27013"
"1","064","C","10-14 YEARS","380","47010"
"1","064","C","15-19 YEARS","206","44584"
"1","064","A","20-29 YEARS","90","84630"
"1","064","A","30-39 YEARS","173","102946"
"1","064","A","40-49 YEARS","153","121444"
"1","064","C","5-9 YEARS","468","45573"
"1","064","A","50-59 YEARS","100","93970"
"1","065","C","10-14 YEARS","75","18516"
"1","065","C","15-19 YEARS","66","18711"
"1","065","A","20-29 YEARS","50","38057"
"1","065","A","30-39 YEARS","54","42329"
"1","065","A","40-49 YEARS","47","38871"
"1","065","C","5-9 YEARS","87","18446"
"1","065","A","50-59 YEARS","44","26636"
"1","066","C","10-14 YEARS","42","15948"
"1","066","C","15-19 YEARS","33","13318"
"1","066","A","20-29 YEARS","97","27832"
"1","066","A","30-39 YEARS","110","34662"
"1","066","A","40-49 YEARS","96","34057"
"1","066","C","5-9 YEARS","62","16281"
"1","066","A","50-59 YEARS","64","24253"
"1","067","C","10-14 YEARS","14","21748"
"1","067","C","15-19 YEARS","9","18884"
"1","067","A","20-29 YEARS","21","36937"
"1","067","A","30-39 YEARS","42","48280"
"1","067","A","40-49 YEARS","37","50520"
"1","067","C","5-9 YEARS","19","21890"
"1","067","A","50-59 YEARS","32","35715"
"1","068","C","10-14 YEARS","9","24260"
"1","068","C","15-19 YEARS","7","20655"
"1","068","A","20-29 YEARS","15","42951"
"1","068","A","30-39 YEARS","31","52034"
"1","068","A","40-49 YEARS","25","65096"
"1","068","C","5-9 YEARS","5","25413"
"1","068","A","50-59 YEARS","14","51932"
"1","069","C","10-14 YEARS","19","7219"
"1","069","C","15-19 YEARS","8","5466"
"1","069","A","20-29 YEARS","34","12510"
"1","069","A","30-39 YEARS","45","18361"
"1","069","A","40-49 YEARS","29","19058"
"1","069","C","5-9 YEARS","16","7486"
"1","069","A","50-59 YEARS","14","12971"
"1","070","C","10-14 YEARS","297","94514"
"1","070","C","15-19 YEARS","135","78617"
"1","070","A","20-29 YEARS","164","183334"
"1","070","A","30-39 YEARS","212","239358"
"1","070","A","40-49 YEARS","126","248630"
"1","070","C","5-9 YEARS","494","93500"
"1","070","A","50-59 YEARS","79","189942"
"1","071","C","10-14 YEARS","11","27417"
"1","071","C","15-19 YEARS","6","25354"
"1","071","A","20-29 YEARS","13","55160"
"1","071","A","30-39 YEARS","17","63074"
"1","071","A","40-49 YEARS","11","56314"
"1","071","C","5-9 YEARS","22","29204"
"1","071","A","50-59 YEARS","6","38687"
"1","072","A","20-29 YEARS","2","21746"
"1","072","A","30-39 YEARS","1","29554"
"1","072","A","40-49 YEARS","1","29055"
"1","072","C","5-9 YEARS","7","11359"
"1","073","C","10-14 YEARS","59","16369"
"1","073","C","15-19 YEARS","14","13440"
"1","073","A","20-29 YEARS","17","34473"
"1","073","A","30-39 YEARS","11","39477"
"1","073","A","40-49 YEARS","6","38896"
"1","073","C","5-9 YEARS","84","16561"
"1","073","A","50-59 YEARS","1","25865"
"1","074","C","10-14 YEARS","61","29674"
"1","074","C","15-19 YEARS","35","27524"
"1","074","A","20-29 YEARS","55","55085"
"1","074","A","30-39 YEARS","105","62758"
"1","074","A","40-49 YEARS","81","76316"
"1","074","C","5-9 YEARS","70","29142"
"1","074","A","50-59 YEARS","34","63951"
"1","075","C","10-14 YEARS","12","14837"
"1","075","C","15-19 YEARS","14","12940"
"1","075","A","20-29 YEARS","23","26837"
"1","075","A","30-39 YEARS","25","30316"
"1","075","A","40-49 YEARS","20","28699"
"1","075","C","5-9 YEARS","20","14999"
"1","075","A","50-59 YEARS","9","20101"
"1","076","C","10-14 YEARS","118","28349"
"1","076","C","15-19 YEARS","56","23819"
"1","076","A","20-29 YEARS","17","54370"
"1","076","A","30-39 YEARS","13","70521"
"1","076","A","40-49 YEARS","14","81154"
"1","076","C","5-9 YEARS","151","27709"
"1","076","A","50-59 YEARS","12","66818"
"1","077","C","10-14 YEARS","5","40916"
"1","077","C","15-19 YEARS","3","37346"
"1","077","A","20-29 YEARS","2","72079"
"1","077","A","30-39 YEARS","7","83316"
"1","077","A","40-49 YEARS","2","102444"
"1","077","C","5-9 YEARS","10","39727"
"1","077","A","50-59 YEARS","4","74105"
"1","078","C","10-14 YEARS","96","23560"
"1","078","C","15-19 YEARS","117","21680"
"1","078","A","20-29 YEARS","103","40939"
"1","078","A","30-39 YEARS","152","50756"
"1","078","A","40-49 YEARS","123","62999"
"1","078","C","5-9 YEARS","125","23334"
"1","078","A","50-59 YEARS","47","43064"
"1","079","C","10-14 YEARS","93","15159"
"1","079","C","15-19 YEARS","42","13377"
"1","079","A","20-29 YEARS","42","29766"
"1","079","A","30-39 YEARS","52","35982"
"1","079","A","40-49 YEARS","39","43318"
"1","079","C","5-9 YEARS","114","14795"
"1","079","A","50-59 YEARS","17","35333"
"1","080","C","10-14 YEARS","129","73023"
"1","080","C","15-19 YEARS","75","70510"
"1","080","A","20-29 YEARS","83","133823"
"1","080","A","30-39 YEARS","115","155006"
"1","080","A","40-49 YEARS","114","169208"
"1","080","C","5-9 YEARS","166","72274"
"1","080","A","50-59 YEARS","69","128404"
"1","081","C","10-14 YEARS","3","13406"
"1","081","C","15-19 YEARS","2","11798"
"1","081","A","20-29 YEARS","2","22624"
"1","081","A","30-39 YEARS","6","23719"
"1","081","A","40-49 YEARS","3","22181"
"1","081","C","5-9 YEARS","3","13981"
"1","081","A","50-59 YEARS","5","14902"
"1","082","C","15-19 YEARS","1","15697"
"1","082","A","20-29 YEARS","1","29799"
"1","082","A","30-39 YEARS","2","35026"
"1","082","A","40-49 YEARS","5","38092"
"1","082","C","5-9 YEARS","3","16821"
"1","082","A","50-59 YEARS","1","28286"
"1","083","C","10-14 YEARS","11","16372"
