"zip3","state_ers","RUCC_mn","RUCCavg_m"
"225","VA","5.33333333333333","2"
"226","VA","3","2"
"227","VA","3.76315789473684","2"
"228","VA","3.87096774193548","2"
"229","VA","3.45833333333333","2"
"230","VA","2.98245614035088","1"
"231","VA","2.58064516129032","1"
"232","VA","1","1"
"233","VA","5.60526315789474","2"
"234","VA","4.44444444444444","2"
"235","VA","1","1"
"236","VA","1","1"
"237","VA","1","1"
"238","VA","3.66666666666667","2"
"239","VA","6.68421052631579","3"
"240","VA","2.53164556962025","1"
"241","VA","3.26923076923077","2"
"242","VA","5.88","2"
"243","VA","6.275","3"
"244","VA","4.97872340425532","2"
"245","VA","3.48484848484848","2"
"246","VA","6.87878787878788","3"
"247","WV","4.31578947368421","2"
"248","WV","6.6551724137931","3"
"249","WV","7.2972972972973","3"
"250","WV","3.19230769230769","2"
"251","WV","3.21153846153846","2"
"252","WV","5.3","2"
"253","WV","3","2"
"254","WV","2.16666666666667","1"
"255","WV","2.76744186046512","1"
"256","WV","6.27659574468085","3"
"257","WV","2","1"
"258","WV","3.61702127659574","2"
"259","WV","4.26190476190476","2"
"260","WV","3","2"
"261","WV","5.05263157894737","2"
"262","WV","7.42592592592593","3"
"263","WV","6.45454545454545","3"
"264","WV","6.06451612903226","3"
"265","WV","3.67391304347826","2"
"266","WV","6.51724137931035","3"
"267","WV","3.69565217391304","2"
"268","WV","6.16666666666667","3"
"270","NC","2.4","1"
"271","NC","2","1"
"272","NC","2.70909090909091","1"
"273","NC","3.24444444444444","2"
"274","NC","2","1"
"275","NC","2.61728395061728","1"
"276","NC","1","1"
"277","NC","2","1"
"278","NC","5.18085106382979","2"
"279","NC","4.08196721311475","2"
"280","NC","2.27118644067797","1"
"281","NC","2.64","1"
"282","NC","1","1"
"283","NC","4.15116279069767","2"
"284","NC","3.58064516129032","2"
"285","NC","3.67605633802817","2"
"286","NC","4.75555555555556","2"
"287","NC","4.51724137931035","2"
"288","NC","2","1"
"289","NC","9","3"
"290","SC","3.20754716981132","2"
"291","SC","3.58490566037736","2"
"292","SC","2","1"
"293","SC","2.17857142857143","1"
"294","SC","2.58333333333333","1"
"295","SC","3.95522388059702","2"
"296","SC","2.67415730337079","1"
"297","SC","1.875","1"
"298","SC","4.06818181818182","2"
"299","SC","4","2"
"300","GA","1","1"
"301","GA","1.50649350649351","1"
"302","GA","1.33333333333333","1"
"303","GA","1","1"
"304","GA","6.10204081632653","3"
"305","GA","5.70422535211268","2"
"306","GA","3.64705882352941","2"
"307","GA","3.19444444444444","2"
"308","GA","4.32","2"
"309","GA","2","1"
"310","GA","5.18478260869565","2"
"312","GA","3","2"
"313","GA","2.55555555555556","1"
"314","GA","2","1"
"315","GA","5.30769230769231","2"
"316","GA","4.57575757575758","2"
"317","GA","4.88888888888889","2"
"318","GA","4.66666666666667","2"
"319","GA","2","1"
"320","FL","3.10344827586207","2"
"321","FL","2.42028985507246","1"
"322","FL","1","1"
"323","FL","3.40350877192982","2"
"324","FL","4.38888888888889","2"
"325","FL","2.33333333333333","1"
"326","FL","3.05357142857143","2"
"327","FL","1.33333333333333","1"
"328","FL","1.03225806451613","1"
"329","FL","2.2962962962963","1"
"330","FL","1.50704225352113","1"
"331","FL","1","1"
"333","FL","1","1"
"334","FL","1.11904761904762","1"
"335","FL","1.20338983050847","1"
"336","FL","1","1"
"337","FL","1","1"
"338","FL","2.36231884057971","1"
"339","FL","2.40909090909091","1"
"341","FL","2.06666666666667","1"
"342","FL","2.30882352941176","1"
"344","FL","2.6304347826087","1"
"346","FL","1","1"
"347","FL","1.06976744186047","1"
"349","FL","2.1875","1"
"350","AL","2.296875","1"
"351","AL","1.74","1"
"352","AL","1","1"
"354","AL","4.08695652173913","2"
"355","AL","4.93181818181818","2"
"356","AL","2.93181818181818","1"
"357","AL","3.88571428571429","2"
"358","AL","2","1"
"359","AL","4.58536585365854","2"
"360","AL","4.46969696969697","2"
"361","AL","2","1"
"362","AL","5.13888888888889","2"
"363","AL","3.35897435897436","2"
"364","AL","6.56410256410256","3"
"365","AL","4.25373134328358","2"
"366","AL","2","1"
"367","AL","5.9375","2"
"368","AL","3.60606060606061","2"
"369","AL","8.69230769230769","3"
"370","TN","2.4025974025974","1"
"371","TN","2.17543859649123","1"
"372","TN","1","1"
"373","TN","4.41379310344828","2"
"374","TN","2","1"
"376","TN","3.04761904761905","2"
"377","TN","3.37735849056604","2"
"378","TN","3.46268656716418","2"
"379","TN","2","1"
"380","TN","3.2","2"
"381","TN","1","1"
"382","TN","6.71875","3"
"383","TN","5.11111111111111","2"
"384","TN","5.05714285714286","2"
"385","TN","5.73469387755102","2"
"386","MS","3.703125","2"
"387","MS","6.43478260869565","3"
"388","MS","6.72","3"
"389","MS","6.93333333333333","3"
"390","MS","4.20454545454545","2"
"391","MS","4.57142857142857","2"
"392","MS","2","1"
"393","MS","7","3"
"394","MS","5.31111111111111","2"
"395","MS","2.29268292682927","1"
"396","MS","7.3","3"
"397","MS","6.71428571428571","3"
"398","GA","6.20588235294118","3"
"400","KY","3.11111111111111","2"
"401","KY","4.68571428571429","2"
"402","KY","1","1"
"403","KY","5.35416666666667","2"
"404","KY","7","3"
"405","KY","2","1"
"406","KY","4","2"
"407","KY","5.94736842105263","2"
"408","KY","7.54054054054054","3"
"409","KY","7.05405405405405","3"
"410","KY","2.57575757575758","1"
"411","KY","4.875","2"
"412","KY","7.3448275862069","3"
"413","KY","8.38461538461539","3"
"414","KY","9","3"
"415","KY","7.09302325581395","3"
"416","KY","7.11764705882353","3"
"417","KY","7.7027027027027","3"
"418","KY","9","3"
"420","KY","7.64150943396226","3"
"421","KY","5.48484848484848","2"
"422","KY","4.26315789473684","2"
"423","KY","4.54347826086957","2"
"424","KY","5.27272727272727","2"
"425","KY","6.41176470588235","3"
"426","KY","8.83333333333333","3"
"427","KY","6.23076923076923","3"
"430","OH","2.11267605633803","1"
"431","OH","1.5","1"
"432","OH","1","1"
"433","OH","4.35555555555556","2"
"434","OH","3.09090909090909","2"
"435","OH","3.89090909090909","2"
"436","OH","2","1"
"437","OH","4.71666666666667","2"
"438","OH","5.21052631578947","2"
"439","OH","3.77049180327869","2"
"440","OH","1.87692307692308","1"
"441","OH","1","1"
"442","OH","1.94230769230769","1"
"443","OH","2","1"
"444","OH","2.4406779661017","1"
"445","OH","2","1"
"446","OH","3.66666666666667","2"
"447","OH","2","1"
"448","OH","4.01587301587302","2"
"449","OH","3","2"
"450","OH","1.23809523809524","1"
"451","OH","3.01923076923077","2"
"452","OH","1","1"
"453","OH","3.7875","2"
"454","OH","2","1"
"455","OH","3","2"
"456","OH","5.14492753623188","2"
"457","OH","4.65384615384615","2"
"458","OH","5.02352941176471","2"
"460","IN","2.37254901960784","1"
"461","IN","1.76190476190476","1"
"462","IN","1","1"
"463","IN","1.67924528301887","1"
"464","IN","1","1"
"465","IN","3.86538461538462","2"
"466","IN","2","1"
"467","IN","4.39393939393939","2"
"468","IN","2","1"
"469","IN","4.74647887323944","2"
"470","IN","5.03225806451613","2"
"471","IN","2.08928571428571","1"
"472","IN","4.60526315789474","2"
"473","IN","4.50793650793651","2"
"474","IN","4.5","2"
"475","IN","6.26315789473684","3"
"476","IN","4.38709677419355","2"
"477","IN","2","1"
"478","IN","3.46551724137931","2"
"479","IN","4.51948051948052","2"
"480","MI","1","1"
"481","MI","1.60975609756098","1"
"482","MI","1","1"
"483","MI","1","1"
"484","MI","3.91666666666667","2"
"485","MI","2","1"
"486","MI","4.85","2"
"487","MI","6.35714285714286","3"
"488","MI","3.15555555555556","2"
"489","MI","2","1"
"490","MI","2.74193548387097","1"
"491","MI","2.9047619047619","1"
"492","MI","4.11290322580645","2"
"493","MI","3.6530612244898","2"
"494","MI","3.78947368421053","2"
"495","MI","2","1"
"496","MI","7.72857142857143","3"
"497","MI","7.15584415584416","3"
"498","MI","6.38235294117647","3"
"499","MI","7","3"
"500","IA","4.61764705882353","2"
"501","IA","5.20289855072464","2"
"502","IA","4.63076923076923","2"
"503","IA","2","1"
"504","IA","6.84210526315789","3"
"505","IA","7.12","3"
"506","IA","5.3","2"
"507","IA","3","2"
"508","IA","7.89285714285714","3"
"510","IA","5.09090909090909","2"
"511","IA","3","2"
"512","IA","7.4","3"
"513","IA","7","3"
"514","IA","7.34375","3"
"515","IA","3.6140350877193","2"
"516","IA","6.95454545454545","3"
"520","IA","5.41304347826087","2"
"521","IA","6.48484848484848","3"
"522","IA","3.98","2"
"523","IA","3.70909090909091","2"
"524","IA","2","1"
"525","IA","7.41176470588235","3"
"526","IA","5.86111111111111","2"
"527","IA","3.80851063829787","2"
"528","IA","2","1"
"530","WI","2.3855421686747","1"
"531","WI","2.04477611940298","1"
"532","WI","1","1"
"534","WI","3","2"
"535","WI","3.36781609195402","2"
"537","WI","2","1"
"538","WI","6.18181818181818","3"
"539","WI","4.76470588235294","2"
"540","WI","2.6","1"
"541","WI","4.33928571428571","2"
"542","WI","4.33333333333333","2"
"543","WI","2","1"
"544","WI","4.82558139534884","2"
"545","WI","8.23404255319149","3"
"546","WI","5.88135593220339","2"
"547","WI","4.81818181818182","2"
"548","WI","6.13636363636364","3"
"549","WI","4.46969696969697","2"
"550","MN","2.24324324324324","1"
"551","MN","1","1"
"553","MN","2.07216494845361","1"
"554","MN","1","1"
"556","MN","7.07692307692308","3"
"557","MN","3.55263157894737","2"
"558","MN","2","1"
"559","MN","3.41095890410959","2"
"560","MN","4.74666666666667","2"
"561","MN","7.1044776119403","3"
"562","MN","7.24324324324324","3"
"563","MN","4.39759036144578","2"
"564","MN","6.27272727272727","3"
"565","MN","5.59210526315789","2"
"566","MN","6.77358490566038","3"
"567","MN","7.35714285714286","3"
"570","SD","4.95774647887324","2"
"571","SD","3","2"
"572","SD","8.12280701754386","3"
"573","SD","8.2741935483871","3"
"574","SD","7.68","3"
"575","SD","8.41860465116279","3"
"576","SD","8.46875","3"
"577","SD","4.79310344827586","2"
"580","ND","5.68333333333333","2"
"581","ND","3","2"
"582","ND","6.37704918032787","3"
"583","ND","8.43137254901961","3"
"584","ND","8.01612903225806","3"
"585","ND","5.64583333333333","2"
"586","ND","8.125","3"
"587","ND","7.90625","3"
"588","ND","8","3"
"590","MT","6.48","3"
"591","MT","3","2"
"592","MT","7.8780487804878","3"
"593","MT","8.54838709677419","3"
"594","MT","6.09375","3"
"595","MT","8.34782608695652","3"
"596","MT","6.66666666666667","3"
"597","MT","6.54","3"
"598","MT","5.77358490566038","2"
"599","MT","5.66666666666667","2"
"600","IL","1","1"
"601","IL","1.06593406593407","1"
"602","IL","1","1"
"603","IL","1","1"
"604","IL","1.10975609756098","1"
"605","IL","1.42424242424242","1"
"606","IL","1","1"
"607","IL","1","1"
"608","IL","1","1"
"609","IL","4.28070175438596","2"
"610","IL","4.27272727272727","2"
"611","IL","2","1"
"612","IL","2.48936170212766","1"
"613","IL","5.67741935483871","2"
"614","IL","4.82191780821918","2"
"615","IL","3.25","2"
"616","IL","2","1"
"617","IL","3.03333333333333","2"
"618","IL","3","2"
"619","IL","5.63333333333333","2"
"620","IL","2.6025641025641","1"
"622","IL","2.4375","1"
"623","IL","6.25925925925926","3"
"624","IL","6.9016393442623","3"
"625","IL","4.52830188679245","2"
"626","IL","4.30645161290323","2"
"627","IL","3","2"
"628","IL","6.03296703296703","3"
"629","IL","5.56626506024096","2"
"630","MO","1.39393939393939","1"
"631","MO","1","1"
"633","MO","2.64","1"
"634","MO","8.33333333333333","3"
"635","MO","8.15151515151515","3"
"636","MO","6.40540540540541","3"
"637","MO","4.07142857142857","2"
"638","MO","6.61702127659574","3"
"639","MO","7.66666666666667","3"
"640","MO","1.17647058823529","1"
"641","MO","1","1"
"644","MO","5.35211267605634","2"
"645","MO","3","2"
"646","MO","6.52727272727273","3"
"647","MO","4.79166666666667","2"
"648","MO","2.92307692307692","1"
"650","MO","4.75862068965517","2"
"651","MO","3","2"
"652","MO","5.5","2"
"653","MO","5.625","2"
"654","MO","6.62068965517241","3"
"655","MO","6.93939393939394","3"
"656","MO","5.09333333333333","2"
"657","MO","5.37662337662338","2"
"658","MO","2","1"
"660","KS","2.97260273972603","1"
"661","KS","1","1"
"662","KS","1","1"
"664","KS","4.27027027027027","2"
"665","KS","3.84090909090909","2"
"666","KS","3","2"
"667","KS","6.05660377358491","3"
"668","KS","6.05555555555556","3"
"669","KS","8.82352941176471","3"
"670","KS","4.46551724137931","2"
"671","KS","3.88095238095238","2"
"672","KS","2","1"
"673","KS","6.59259259259259","3"
"674","KS","6.96551724137931","3"
"675","KS","7.01818181818182","3"
"676","KS","7.53333333333333","3"
"677","KS","8.42857142857143","3"
"678","KS","7.82051282051282","3"
"679","KS","7.28571428571429","3"
"680","NE","3.71929824561404","2"
"681","NE","2","1"
"683","NE","6.07142857142857","3"
"684","NE","5.23214285714286","2"
"685","NE","2","1"
"686","NE","6.53488372093023","3"
"687","NE","7.10666666666667","3"
"688","NE","5.37878787878788","2"
"689","NE","7.89473684210526","3"
"690","NE","8.53846153846154","3"
"691","NE","7.48936170212766","3"
"692","NE","7.54545454545455","3"
"693","NE","7.4","3"
"700","LA","1","1"
"701","LA","1","1"
"703","LA","3.52631578947368","2"
"704","LA","2.4468085106383","1"
"705","LA","3.01298701298701","2"
"706","LA","4.22727272727273","2"
"707","LA","1.97014925373134","1"
"708","LA","2","1"
"710","LA","3.42857142857143","2"
"711","LA","2","1"
"712","LA","5.04761904761905","2"
"713","LA","5.54716981132075","2"
"714","LA","5.14705882352941","2"
"716","AR","5.3","2"
"717","AR","7.05882352941176","3"
"718","AR","5.53846153846154","2"
"719","AR","6.26666666666667","3"
"720","AR","4.49382716049383","2"
"721","AR","3.97142857142857","2"
"722","AR","2","1"
"723","AR","4.67692307692308","2"
"724","AR","5.13636363636364","2"
"725","AR","7.83050847457627","3"
"726","AR","7.88888888888889","3"
"727","AR","2","1"
"728","AR","5.94736842105263","2"
"729","AR","2.93023255813953","1"
"730","OK","2.91011235955056","1"
"731","OK","1","1"
"734","OK","6.45714285714286","3"
"735","OK","5.41818181818182","2"
"736","OK","7.64705882352941","3"
"737","OK","6.86274509803922","3"
"738","OK","8.2","3"
"739","OK","8.06666666666667","3"
"740","OK","2.72","1"
"741","OK","2","1"
"743","OK","6","3"
"744","OK","4.22448979591837","2"
"745","OK","7.25","3"
"746","OK","4.94736842105263","2"
"747","OK","6.61111111111111","3"
"748","OK","5.14","2"
"749","OK","3.1875","2"
"750","TX","1.175","1"
"751","TX","2.03225806451613","1"
"752","TX","1","1"
"754","TX","4.84523809523809","2"
"755","TX","4.71428571428571","2"
"756","TX","4","2"
"757","TX","4.29787234042553","2"
"758","TX","7.12121212121212","3"
"759","TX","5.6","2"
"760","TX","1.14084507042254","1"
"761","TX","1","1"
"762","TX","2.78723404255319","1"
"763","TX","4.25","2"
"764","TX","5.18867924528302","2"
"765","TX","2.51724137931034","1"
"766","TX","4.29310344827586","2"
"767","TX","2","1"
"768","TX","6.79245283018868","3"
"769","TX","4.7037037037037","2"
"770","TX","1","1"
"773","TX","2.50684931506849","1"
"774","TX","2.32530120481928","1"
"775","TX","1.02816901408451","1"
"776","TX","2.52777777777778","1"
"777","TX","2","1"
"778","TX","4.41666666666667","2"
"779","TX","4.97368421052632","2"
"780","TX","3","2"
"781","TX","3.21739130434783","2"
