"season","c_m","zip3","ILIsum","popstatsum"
"2","A","010","245","255769"
"2","C","010","665","94668"
"2","A","013","71","45306"
"2","C","013","13","17107"
"2","A","014","150","114503"
"2","C","014","210","43961"
"2","A","015","431","196007"
"2","C","015","1521","70676"
"2","A","016","310","94972"
"2","C","016","299","38175"
"2","A","017","44","210309"
"2","C","017","49","70377"
"2","A","018","975","385710"
"2","C","018","3231","146025"
"2","A","019","178","261806"
"2","C","019","444","90885"
"2","A","020","51","220548"
"2","C","020","22","78140"
"2","A","021","245","736566"
"2","C","021","879","221238"
"2","A","024","133","227289"
"2","C","024","139","66934"
"2","A","026","11","78389"
"2","C","026","66","26552"
"2","A","028","40","373799"
"2","C","028","131","134476"
"2","A","029","39","200579"
"2","C","029","105","74831"
"2","A","030","167","212605"
"2","C","030","541","75258"
"2","A","031","17","81508"
"2","C","031","26","26944"
"2","A","034","65","43516"
"2","C","034","81","17317"
"2","A","035","7","25169"
"2","C","035","7","9186"
"2","A","037","58","41173"
"2","C","037","76","15667"
"2","A","038","102","170535"
"2","C","038","219","59580"
"2","A","039","41","26387"
"2","C","039","43","10121"
"2","A","040","85","178034"
"2","C","040","119","66607"
"2","A","042","126","92445"
"2","C","042","248","37508"
"2","A","050","96","33280"
"2","C","050","147","13056"
"2","A","052","48","18434"
"2","C","052","24","7285"
"2","A","053","54","19787"
"2","C","053","231","7119"
"2","A","054","142","128307"
"2","C","054","261","48257"
"2","A","056","8","48525"
"2","C","056","17","17933"
"2","A","057","127","46473"
"2","C","057","105","17821"
"2","A","060","203","363404"
"2","C","060","315","125096"
"2","A","061","41","154936"
"2","C","061","12","60891"
"2","A","062","106","85518"
"2","C","062","122","32206"
"2","A","063","424","143492"
"2","C","063","765","51819"
"2","A","064","1848","419824"
"2","C","064","2295","144623"
"2","A","065","679","150118"
"2","C","065","219","56448"
"2","A","066","610","123733"
"2","C","066","233","46221"
"2","A","067","171","174986"
"2","C","067","97","63715"
"2","A","068","236","226439"
"2","C","068","425","74275"
"2","A","069","18","66032"
"2","C","069","55","20763"
"2","A","070","1552","927115"
"2","C","070","2672","289164"
"2","A","071","120","223238"
"2","C","071","117","83441"
"2","A","072","63","101352"
"2","C","072","34","36498"
"2","A","073","58","141441"
"2","C","073","379","50150"
"2","A","074","887","253914"
"2","C","074","815","85329"
"2","A","075","240","106579"
"2","C","075","83","42490"
"2","A","076","191","277250"
"2","C","076","1665","82755"
"2","A","077","123","331944"
"2","C","077","55","117989"
