"season","c_m","zip3","ILIsum","popstatsum"
"3","A","010","340","251287"
"3","C","010","596","97769"
"3","A","011","68","87224"
"3","C","011","282","41133"
"3","A","013","76","46460"
"3","C","013","28","17320"
"3","A","014","406","114247"
"3","C","014","363","45571"
"3","A","015","427","195807"
"3","C","015","1564","75741"
"3","A","016","390","98261"
"3","C","016","451","38669"
"3","A","017","223","210271"
"3","C","017","598","74050"
"3","A","018","1136","384283"
"3","C","018","4193","149878"
"3","A","019","197","262730"
"3","C","019","580","93179"
"3","A","020","199","215568"
"3","C","020","224","82373"
"3","A","021","382","766487"
"3","C","021","1812","216092"
"3","A","023","159","238924"
"3","C","023","545","94181"
"3","A","024","222","230928"
"3","C","024","600","70411"
"3","A","025","27","61425"
"3","C","025","176","22036"
"3","A","026","95","77819"
"3","C","026","694","26283"
"3","A","027","83","285615"
"3","C","027","267","106624"
"3","A","028","15","371420"
"3","C","028","282","139971"
"3","A","030","438","213222"
"3","C","030","1270","86037"
"3","A","031","96","83372"
"3","C","031","297","29672"
"3","A","032","168","99656"
"3","C","032","689","39294"
"3","A","033","80","33811"
"3","C","033","214","12367"
"3","A","034","109","44804"
"3","C","034","192","18535"
"3","A","035","36","23767"
"3","C","035","60","9035"
"3","A","037","121","41141"
"3","C","037","562","15744"
"3","A","038","377","171840"
"3","C","038","1336","62618"
"3","A","039","25","26328"
"3","C","039","73","10211"
"3","A","040","68","178992"
"3","C","040","100","69241"
"3","A","042","91","93727"
"3","C","042","148","36543"
"3","A","049","13","83125"
"3","C","049","8","32248"
"3","A","050","80","34034"
"3","C","050","284","13424"
"3","A","051","39","16017"
"3","C","051","77","5992"
"3","A","052","94","17619"
"3","C","052","110","7031"
"3","A","053","60","21070"
"3","C","053","322","7693"
"3","A","054","300","131271"
"3","C","054","727","49983"
"3","A","056","62","47948"
"3","C","056","91","17703"
"3","A","057","210","45849"
"3","C","057","144","17935"
"3","A","058","72","30526"
"3","C","058","272","12647"
"3","A","060","192","358448"
"3","C","060","340","128045"
"3","A","061","74","154064"
"3","C","061","25","62631"
"3","A","062","43","86883"
"3","C","062","159","34815"
"3","A","063","340","143518"
"3","C","063","406","52304"
"3","A","064","1485","413149"
"3","C","064","1983","149451"
"3","A","065","633","153730"
"3","C","065","158","58885"
"3","A","066","459","123450"
"3","C","066","216","50897"
"3","A","067","139","176022"
"3","C","067","72","67791"
"3","A","068","264","221853"
"3","C","068","1020","80531"
"3","A","069","24","70703"
"3","C","069","226","19924"
"3","A","070","1697","942129"
"3","C","070","1850","311881"
"3","A","071","123","224110"
"3","C","071","129","88650"
"3","A","072","63","102763"
"3","C","072","32","37922"
"3","A","073","134","144184"
"3","C","073","154","49512"
"3","A","074","704","247959"
"3","C","074","741","92916"
"3","A","075","254","111169"
"3","C","075","175","45687"
"3","A","076","387","268407"
"3","C","076","842","91268"
"3","A","077","157","336742"
"3","C","077","214","128762"
"3","A","078","1222","203571"
"3","C","078","1006","75385"
"3","A","079","385","140104"
"3","C","079","745","47543"
"3","A","080","540","606092"
"3","C","080","718","234018"
"3","A","081","30","84838"
"3","C","081","33","40559"
"3","A","082","15","129363"
"3","C","082","7","51389"
"3","A","083","84","122871"
"3","C","083","59","49194"
"3","A","084","15","33358"
"3","C","084","4","11714"
"3","A","085","254","160352"
"3","C","085","154","58893"
"3","A","086","55","151023"
"3","C","086","22","54166"
"3","A","087","202","200126"
"3","C","087","1110","76989"
"3","A","088","891","486996"
"3","C","088","1014","168758"
"3","A","089","50","63067"
"3","C","089","23","20443"
"3","A","100","1128","942921"
"3","C","100","720","209113"
"3","A","101","79","38746"
"3","C","101","49","5759"
"3","A","103","1043","256391"
"3","C","103","793","95779"
"3","A","104","357","726481"
"3","C","104","315","332331"
"3","A","105","450","349704"
"3","C","105","2143","130334"
"3","A","106","13","43589"
"3","C","106","16","13260"
"3","A","107","52","122948"
"3","C","107","50","45160"
"3","A","108","29","43524"
"3","C","108","13","16350"
"3","A","109","137","266877"
"3","C","109","1167","116391"
"3","A","110","218","127096"
"3","C","110","616","47107"
"3","A","111","153","137125"
"3","C","111","72","34030"
"3","A","112","1371","1366201"
"3","C","112","1030","550066"
"3","A","113","544","681569"
"3","C","113","397","200747"
"3","A","114","312","423221"
"3","C","114","166","160951"
"3","A","115","404","389932"
"3","C","115","464","147988"
"3","A","116","17","54153"
"3","C","116","15","25000"
"3","A","117","1538","852824"
"3","C","117","2835","322896"
"3","A","118","82","38889"
"3","C","118","105","13797"
"3","A","119","204","124031"
"3","C","119","257","46355"
"3","A","120","164","172871"
"3","C","120","252","67431"
"3","A","121","71","146595"
"3","C","121","70","56023"
"3","A","122","83","81399"
"3","C","122","17","29058"
"3","A","123","355","81991"
"3","C","123","333","31827"
"3","A","124","17","84964"
"3","C","124","38","30917"
"3","A","125","203","238027"
"3","C","125","540","94797"
"3","A","128","38","118954"
"3","C","128","33","44728"
