"season","c_m","zip3","ILIsum","popstatsum"
"8","A","010","821","262448"
"8","C","010","1444","88624"
"8","A","011","296","89194"
"8","C","011","279","38783"
"8","A","012","73","70146"
"8","C","012","71","23632"
"8","A","013","117","49237"
"8","C","013","126","14944"
"8","A","014","535","119405"
"8","C","014","438","43763"
"8","A","015","415","209713"
"8","C","015","1584","75805"
"8","A","016","217","103911"
"8","C","016","1483","36830"
"8","A","017","476","203841"
"8","C","017","291","75133"
"8","A","018","1738","381527"
"8","C","018","2725","144912"
"8","A","019","287","264468"
"8","C","019","1182","92004"
"8","A","020","1114","213745"
"8","C","020","260","83613"
"8","A","021","1018","722906"
"8","C","021","1083","195490"
"8","A","023","640","245810"
"8","C","023","287","90835"
"8","A","024","760","221823"
"8","C","024","760","69545"
"8","A","025","117","63603"
"8","C","025","249","20144"
"8","A","026","96","78083"
"8","C","026","126","23155"
"8","A","027","1453","293759"
"8","C","027","1029","101337"
"8","A","028","994","385310"
"8","C","028","1868","131741"
"8","A","029","1179","215346"
"8","C","029","1108","78130"
"8","A","030","621","219818"
"8","C","030","846","83859"
"8","A","031","60","84963"
"8","C","031","35","29885"
"8","A","032","172","108331"
"8","C","032","228","36903"
"8","A","034","92","47352"
"8","C","034","23","16765"
"8","A","037","55","42347"
"8","C","037","197","14501"
"8","A","038","1040","179602"
"8","C","038","1769","60432"
"8","A","039","87","29150"
"8","C","039","144","9687"
"8","A","040","274","191952"
"8","C","040","248","65781"
"8","A","041","72","63889"
"8","C","041","115","18145"
"8","A","042","281","99014"
"8","C","042","225","33153"
"8","A","043","131","46271"
"8","C","043","64","14509"
"8","A","044","229","97191"
"8","C","044","197","30630"
"8","A","046","79","40120"
"8","C","046","54","12714"
"8","A","049","308","88888"
"8","C","049","245","29798"
"8","A","051","12","16177"
"8","C","051","5","5097"
"8","A","053","58","21101"
"8","C","053","13","6483"
"8","A","054","37","135005"
"8","C","054","69","45613"
"8","A","056","28","49720"
"8","C","056","24","15568"
"8","A","057","93","47131"
"8","C","057","30","15285"
"8","A","058","9","32652"
"8","C","058","28","10736"
