"season","c_m","zip3","ILIsum","popstatsum"
"9","A","010","721","260855"
"9","C","010","1715","88282"
"9","A","011","413","88461"
"9","C","011","473","38422"
"9","A","012","68","69778"
"9","C","012","84","22950"
"9","A","013","138","48941"
"9","C","013","129","14565"
"9","A","014","445","119435"
"9","C","014","371","43614"
"9","A","015","400","210534"
"9","C","015","1320","75673"
"9","A","016","263","103564"
"9","C","016","1589","36742"
"9","A","017","347","203841"
"9","C","017","691","75813"
"9","A","018","1274","384396"
"9","C","018","2747","146111"
"9","A","019","188","264153"
"9","C","019","1231","90719"
"9","A","020","748","213342"
"9","C","020","775","83863"
"9","A","021","696","743097"
"9","C","021","1436","208392"
"9","A","023","416","245635"
"9","C","023","513","90328"
"9","A","024","451","220332"
"9","C","024","1163","70007"
"9","A","025","90","63247"
"9","C","025","265","19675"
"9","A","026","134","77244"
"9","C","026","437","22453"
"9","A","027","1184","292108"
"9","C","027","1338","100202"
"9","A","028","1193","379217"
"9","C","028","2962","130533"
"9","A","029","1158","211714"
"9","C","029","1384","78584"
"9","A","030","546","221148"
"9","C","030","1073","81283"
"9","A","031","61","85507"
"9","C","031","96","29237"
"9","A","032","99","109500"
"9","C","032","120","35493"
"9","A","034","24","47287"
"9","C","034","19","16158"
"9","A","037","41","42675"
"9","C","037","52","13986"
"9","A","038","978","181709"
"9","C","038","1467","59297"
"9","A","039","72","28637"
"9","C","039","109","9550"
"9","A","040","286","189300"
"9","C","040","273","65540"
"9","A","041","82","62399"
"9","C","041","110","18095"
"9","A","042","197","98944"
"9","C","042","190","32692"
"9","A","043","59","46179"
"9","C","043","48","14360"
"9","A","044","127","97035"
"9","C","044","84","30759"
"9","A","045","18","25772"
"9","C","045","8","8009"
"9","A","046","34","39955"
"9","C","046","60","12761"
"9","A","048","22","22632"
"9","C","048","40","6810"
"9","A","049","201","88885"
"9","C","049","179","29554"
"9","A","052","20","17342"
"9","C","052","59","5829"
"9","A","054","74","133451"
"9","C","054","153","46296"
"9","A","056","15","48457"
"9","C","056","22","15411"
"9","A","057","136","46735"
"9","C","057","117","15356"
"9","A","058","5","31865"
"9","C","058","13","10655"
"9","A","060","805","372821"
"9","C","060","817","126656"
"9","A","061","334","154832"
"9","C","061","333","59955"
"9","A","062","101","97225"
"9","C","062","128","34808"
"9","A","063","169","146445"
"9","C","063","407","49496"
"9","A","064","1533","397430"
"9","C","064","1627","139068"
"9","A","065","683","156884"
"9","C","065","535","57272"
"9","A","066","735","121827"
"9","C","066","553","49199"
"9","A","067","449","183195"
"9","C","067","525","65512"
"9","A","068","850","248104"
"9","C","068","3567","99460"
"9","A","069","277","68028"
"9","C","069","681","22042"
"9","A","070","4885","916048"
"9","C","070","10210","309125"
"9","A","071","882","225055"
"9","C","071","1509","87007"
"9","A","072","344","104374"
"9","C","072","467","38427"
"9","A","073","418","142855"
"9","C","073","1191","47784"
"9","A","074","1085","250689"
"9","C","074","2741","96892"
"9","A","075","333","111689"
"9","C","075","898","45821"
"9","A","076","809","271455"
"9","C","076","2962","94777"
"9","A","077","887","336803"
"9","C","077","1927","125098"
"9","A","078","1020","208886"
"9","C","078","2635","75761"
"9","A","079","791","136862"
"9","C","079","2368","53042"
"9","A","080","1475","661086"
"9","C","080","2254","230251"
"9","A","081","197","86663"
"9","C","081","300","36630"
"9","A","082","552","135030"
"9","C","082","1179","48394"
"9","A","083","196","137382"
"9","C","083","342","46743"
"9","A","084","67","32861"
"9","C","084","142","11215"
"9","A","085","505","177733"
"9","C","085","1085","65778"
"9","A","086","161","156158"
"9","C","086","299","53173"
"9","A","087","883","216326"
"9","C","087","3649","77526"
"9","A","088","3444","502286"
"9","C","088","4620","175447"
"9","A","089","284","65335"
"9","C","089","364","21148"
"9","A","100","3178","966220"
"9","C","100","3358","212534"
"9","A","101","182","40332"
"9","C","101","219","7314"
