"season","c_m","zip3","ILIsum","popstatsum"
"10","C","124","502","27211"
"10","A","125","2351","251393"
"10","C","125","5118","90148"
"10","A","126","418","47061"
"10","C","126","1149","18723"
"10","A","127","283","54270"
"10","C","127","415","19524"
"10","A","128","482","128104"
"10","C","128","601","40922"
"10","A","129","446","95814"
"10","C","129","309","27253"
"10","A","130","1795","212994"
"10","C","130","1450","75038"
"10","A","131","568","99440"
"10","C","131","706","34612"
"10","A","132","1319","119483"
"10","C","132","958","45044"
"10","A","133","154","76911"
"10","C","133","293","27009"
"10","A","134","224","103239"
"10","C","134","346","33908"
"10","A","135","82","34219"
"10","C","135","80","13342"
"10","A","136","505","132943"
"10","C","136","461","47104"
"10","A","137","53","72608"
"10","C","137","34","24530"
"10","A","138","87","76987"
"10","C","138","28","29361"
"10","A","139","21","40358"
"10","C","139","25","12707"
"10","A","140","328","241601"
"10","C","140","954","82833"
"10","A","141","129","105117"
"10","C","141","341","35428"
"10","A","142","379","300096"
"10","C","142","719","108171"
"10","A","143","65","35554"
"10","C","143","90","12603"
"10","A","144","207","170012"
"10","C","144","173","59831"
"10","A","145","192","168086"
"10","C","145","188","61363"
"10","A","146","165","253905"
"10","C","146","155","94351"
"10","A","147","96","94097"
"10","C","147","129","34331"
"10","A","148","369","158917"
"10","C","148","398","54900"
"10","A","149","101","26626"
"10","C","149","28","9494"
"10","A","150","1145","231844"
"10","C","150","1912","79273"
"10","A","151","837","192905"
"10","C","151","941","67382"
"10","A","152","1451","368540"
"10","C","152","1267","121235"
"10","A","153","466","98273"
"10","C","153","712","32700"
"10","A","154","259","81994"
"10","C","154","1103","26314"
"10","A","155","165","48506"
"10","C","155","425","14915"
"10","A","156","934","163370"
"10","C","156","1673","51798"
"10","A","157","175","61508"
"10","C","157","705","19879"
"10","A","158","100","48030"
"10","C","158","243","15673"
"10","A","159","68","76308"
"10","C","159","658","24611"
"10","A","160","359","104915"
"10","C","160","291","37642"
"10","A","161","312","114838"
"10","C","161","390","41411"
"10","A","162","213","45712"
"10","C","162","151","15998"
"10","A","163","274","77362"
"10","C","163","286","27603"
"10","A","164","243","71659"
"10","C","164","332","26523"
"10","A","165","539","98519"
"10","C","165","587","37019"
"10","A","166","221","111018"
"10","C","166","515","36185"
"10","A","167","97","25910"
"10","C","167","233","8978"
"10","A","168","480","112051"
"10","C","168","1125","35006"
"10","A","169","11","33317"
"10","C","169","13","11930"
"10","A","170","980","325975"
"10","C","170","1244","111758"
"10","A","171","307","87132"
"10","C","171","538","30768"
"10","A","172","230","106528"
"10","C","172","411","38762"
"10","A","173","1099","189700"
"10","C","173","3103","65449"
"10","A","174","381","89687"
"10","C","174","911","31398"
"10","A","175","2036","165782"
"10","C","175","3168","67938"
"10","A","176","1273","82440"
"10","C","176","1933","30537"
"10","A","177","100","89142"
"10","C","177","161","30914"
"10","A","178","257","126787"
"10","C","178","435","41038"
"10","A","179","85","68713"
"10","C","179","124","20047"
"10","A","180","1041","291391"
"10","C","180","1763","102360"
"10","A","181","513","83757"
"10","C","181","1323","32749"
"10","A","182","181","69541"
