"ID","ILI","popstat"
"2351C",58,63444
"2354A",172,107835
"2354C",151,45173
"2355A",49,89038
"2355C",30,32304
"2356A",94,193982
"2356C",36,74034
"2359A",29,144467
"2359C",6,54562
"2360A",41,148545
"2360C",60,61402
"2361A",81,112394
"2361C",41,47472
"2362A",34,93981
"2362C",12,35911
"2365A",222,165619
"2365C",135,70159
"2366A",30,151101
"2366C",104,64715
"2367A",51,61753
"2367C",39,31420
"2368A",90,125244
"2368C",17,48705
"2370A",959,405692
"2370C",1714,155407
"2371A",447,270854
"2371C",983,105252
"2372A",199,234572
"2372C",152,81661
"2373A",507,286757
"2373C",477,108412
"2374A",153,101731
"2374C",54,35623
"2376A",556,219928
"2376C",437,71256
"2377A",452,173437
"2377C",230,60051
"2378A",543,261223
"2378C",383,90003
"2379A",356,198384
"2379C",397,68070
"2380A",66,199248
"2380C",20,77172
"2381A",230,421107
"2381C",80,180200
"2383A",29,149190
"2383C",14,57904
"2384A",119,93089
"2384C",145,36836
"2385A",56,111563
"2385C",39,40780
"2386A",155,183994
"2386C",82,82999
"2388A",13,134070
"2388C",342,55193
"2390A",21,136017
"2390C",7,63429
"2395A",454,200804
"2395C",198,87019
"2400A",194,111778
"2400C",157,45293
"2401A",148,77589
"2401C",83,34285
"2402A",1010,382301
"2402C",299,138538
"2403A",16,170358
"2403C",15,65280
"2404A",162,91946
"2404C",174,35631
"2407A",19,54258
"2407C",47,21824
"2409A",13,41517
"2409C",22,16630
"2410A",902,240143
"2410C",881,98381
"2411A",137,74678
"2411C",83,27669
"2412A",21,27921
"2412C",7,11060
"2420A",29,118396
"2420C",8,43128
"2421A",172,102002
"2421C",96,40127
"2422A",41,83509
"2422C",67,32786
"2425A",11,38000
"2425C",68,14131
"2427A",30,89448
"2427C",86,34934
"2430A",226,358757
"2430C",136,144132
"2431A",186,199351
"2431C",158,78698
"2432A",93,426836
"2432C",55,151955
"2433A",65,96488
"2433C",38,39317
"2434A",37,89073
"2434C",40,36390
"2435A",118,148525
"2435C",211,63511
"2436A",222,191712
"2436C",317,79338
"2437A",131,98284
"2437C",86,43033
"2440A",166,455169
"2440C",118,178476
"2441A",472,701162
"2441C",373,266621
"2442A",488,293852
"2442C",345,115158
"2443A",423,152011
"2443C",122,58412
"2444A",193,192456
"2444C",156,76358
"2445A",97,90498
"2445C",132,34720
"2446A",122,230882
"2446C",87,98837
"2448A",73,177292
"2448C",43,79436
"2450A",894,280219
"2450C",858,112362
"2451A",360,165527
"2451C",616,71673
"2452A",1091,450016
"2452C",1246,177416
"2453A",603,261840
"2453C",291,107432
"2454A",598,272029
"2454C",225,103980
"2456A",171,180145
"2456C",464,76848
"2458A",148,190133
"2458C",94,85876
"2460A",573,226313
"2460C",614,90912
"2461A",398,247530
"2461C",320,102120
"2462A",905,484981
"2462C",355,180573
"2463A",519,335831
"2463C",535,136740
"2464A",70,76847
"2464C",64,35541
"2465A",79,243919
"2465C",55,107731
"2467A",123,166320
"2467C",106,76593
"2468A",178,156966
"2468C",101,65036
"2469A",24,171729
"2469C",68,69395
"2470A",151,59357
"2470C",147,25690
"2471A",270,146310
"2471C",128,58981
"2472A",155,106359
"2472C",143,42313
"2473A",150,176812
"2473C",239,68281
"2474A",271,145867
"2474C",275,52971
"2475A",44,82136
"2475C",50,35270
"2476A",146,65946
"2476C",90,27156
"2478A",109,98642
"2478C",91,38379
"2479A",68,153925
"2479C",46,63996
"2480A",723,616193
"2480C",1495,219548
"2481A",906,861948
"2481C",1891,318175
"2482A",388,613741
"2482C",673,270030
"2483A",556,541790
"2483C",943,186570
"2484A",471,249613
"2484C",583,101765
"2485A",255,115354
"2485C",231,50810
"2486A",293,217589
"2486C",546,92673
"2487A",70,111086
"2487C",75,47063
"2488A",380,331403
"2488C",541,136051
"2489A",140,89275
"2489C",281,35148
"2490A",1201,397239
"2490C",1622,165530
"2491A",69,58150
"2491C",104,23725
"2492A",217,188325
"2492C",439,79555
"2493A",448,155431
"2493C",512,67382
"2494A",914,284211
"2494C",739,124091
"2495A",791,221672
"2495C",640,88485
"2496A",245,127581
"2496C",160,58075
"2498A",50,99354
"2498C",32,37553
"2499A",18,42769
"2499C",29,17400
"2500A",24,108716
"2500C",48,42842
"2501A",35,81868
"2501C",63,34838
"2502A",85,105580
"2502C",94,41313
"2506A",11,84834
"2506C",15,39002
"2510A",365,43510
"2510C",333,20892
"2511A",173,44858
"2511C",199,20827
"2512A",113,20439
"2512C",115,10656
"2513A",55,24294
"2513C",70,10279
"2514A",51,23532
"2514C",23,11292
"2515A",94,75745
"2515C",82,31412
"2520A",122,70245
"2520C",140,32469
"2523A",41,71734
"2523C",96,31063
"2524A",58,73205
"2524C",134,27014
"2526A",27,58246
"2526C",33,23914
"2530A",61,316042
"2530C",113,135504
"2531A",106,349760
"2531C",212,137425
"2535A",58,271370
"2535C",50,111116
"2540A",28,69525
"2540C",18,29144
"2541A",166,124272
"2541C",254,53828
"2542A",248,66190
"2542C",168,28055
"2543A",124,96610
"2543C",131,37661
"2544A",400,197577
"2544C",349,87214
"2548A",70,89237
"2548C",68,40722
"2549A",206,241058
"2549C",364,99374
"2550A",43,301145
"2550C",63,140744
"2551A",38,429135
"2551C",125,157718
"2553A",75,459519
"2553C",131,187133
"2554A",158,570017
"2554C",418,190798
"2561A",89,42151
"2561C",103,20816
"2570A",99,82788
"2570C",94,37350
"2572A",213,34899
"2572C",278,16516
"2600A",476,875756
"2600C",883,326336
"2601A",301,760244
"2601C",912,283992
"2604A",331,726546
"2604C",380,294756
"2605A",140,471872
"2605C",303,183292
"2606A",424,1571036
"2606C",411,621972
"2610A",215,159971
"2610C",222,65308
"2612A",39,115213
"2612C",40,44927
"2613A",29,75344
"2613C",21,32040
"2615A",19,103743
"2615C",30,40753
"2620A",40,160970
"2620C",46,64726
"2622A",28,232451
"2622C",29,98986
"2624A",101,73697
"2624C",103,32192
"2625A",74,97781
"2625C",89,40065
"2626A",189,85116
"2626C",168,35677
"2628A",57,110834
"2628C",96,46266
"2640A",169,290377
"2640C",208,118976
"2641A",159,289969
"2641C",237,106860
"2650A",20,73729
"2650C",23,30044
"2660A",184,237369
"2660C",107,96214
"2661A",63,80834
"2661C",25,34930
"2662A",114,185921
"2662C",41,67514
"2667A",57,60771
"2667C",67,25852
"2670A",20,84761
"2670C",4,41906
"2680A",198,89326
"2680C",186,40551
"2681A",416,291738
"2681C",217,114740
"2683A",48,41570
"2683C",54,17811
"2684A",24,35025
"2684C",35,15645
"2685A",59,142614
"2685C",241,50626
"2686A",26,35913
"2686C",19,17674
"2687A",71,65603
"2687C",83,32982
"2688A",93,79619
"2688C",68,35627
"2689A",71,36739
"2689C",46,16784
"2700A",36,340082
"2700C",22,134149
"2703A",21,141772
"2703C",33,64439
"2704A",75,195213
"2704C",119,86981
"2705A",623,308568
"2705C",529,146954
"2706A",52,134141
"2706C",65,58753
"2707A",120,178986
"2707C",55,77575
"2708A",209,201265
"2708C",41,85561
"2710A",67,94483
"2710C",24,40531
"2711A",192,148402
"2711C",58,62777
"2712A",290,169952
"2712C",233,81498
"2713A",18,106127
"2713C",59,47552
"2714A",20,99233
"2714C",50,44376
"2717A",15,59692
"2717C",16,26324
"2718A",68,65262
"2718C",78,28366
"2725A",104,52230
"2725C",39,19711
"2730A",834,321054
"2730C",697,130954
"2731A",792,319883
"2731C",430,125704
"2734A",37,43282
"2734C",27,18175
"2735A",115,109689
"2735C",75,47022
"2737A",197,53133
"2737C",168,21025
"2738A",7,14749
"2738C",4,6408
"2740A",669,279499
"2740C",984,116618
"2741A",280,237356
"2741C",532,82977
"2743A",171,65632
"2743C",150,26418
"2744A",159,110943
"2744C",96,47399
"2745A",52,45475
"2745C",47,18801
"2748A",197,94302
"2748C",196,42625
"2750A",2302,938829
"2750C",1713,342502
"2751A",744,345257
"2751C",605,151230
"2752A",718,714629
"2752C",871,258334
"2754A",191,153187
"2754C",138,66559
"2755A",163,63978
"2755C",148,27051
"2756A",123,161987
"2756C",117,73416
"2757A",249,156969
"2757C",209,66798
"2758A",172,65026
"2758C",81,22988
"2759A",21,128415
"2759C",24,56154
"2760A",1921,552785
"2760C",2527,207616
"2761A",1036,419710
"2761C",1466,163270
"2762A",484,159871
"2762C",715,60999
"2763A",50,92827
"2763C",38,41054
"2764A",56,67525
"2764C",44,28721
"2765A",215,218672
"2765C",250,93595
"2766A",139,79740
"2766C",104,34921
"2767A",75,86784
"2767C",83,38266
"2770A",791,1475282
"2770C",3518,571069
"2773A",480,423708
"2773C",1774,170487
"2774A",334,374846
"2774C",1382,162022
"2775A",413,542459
"2775C",768,224584
"2776A",116,144181
"2776C",81,61747
"2778A",292,141494
"2778C",226,57357
"2779A",75,82466
"2779C",45,36711
"2780A",109,219168
"2780C",122,113876
"2781A",118,156894
"2781C",75,72343
"2782A",293,711064
"2782C",329,311122
"2783A",43,121014
"2783C",37,57063
"2784A",21,149423
"2784C",39,67994
"2785A",180,483235
"2785C",432,285354
"2786A",330,299276
"2786C",389,125494
"2787A",461,483705
"2787C",571,170516
"2789A",36,30222
"2789C",35,13731
"2790A",76,108072
"2790C",40,54438
"2791A",229,107626
"2791C",67,44809
"2797A",36,183310
"2797C",36,91217
"2799A",115,332723
"2799C",97,164729
"2800A",426,390081
"2800C",1087,148651
"2801A",470,300125
"2801C",1075,112567
"2802A",498,528349
"2802C",771,184400
"2803A",24,81209
"2803C",38,22216
"2804A",209,122303
"2804C",177,39812
"2805A",162,227210
"2805C",153,85697
"2806A",72,99588
"2806C",50,43204
"2808A",38,55676
"2808C",51,21492
"2809A",217,258770
"2809C",368,97678
"2810A",91,112505
"2810C",91,45825
"2811A",46,33586
"2811C",26,16833
"2820A",66,67125
"2820C",68,25951
"2836A",100,174588
"2836C",67,78434
"2837A",69,127151
"2837C",73,53392
"2838A",40,118697
"2838C",33,49093
"2840A",34,509742
"2840C",10,278110
"2841A",16,321913
"2841C",7,128953
"2850A",380,689002
"2850C",714,278014
"2852A",621,772207
"2852C",896,298888
"2853A",196,435113
"2853C",440,185641
"2856A",36,111172
"2856C",37,51639
"2857A",267,442014
"2857C",262,170913
"2880A",68,126112
"2880C",143,61663
"2890A",140,233177
"2890C",136,92915
"2891A",327,583776
"2891C",337,212808
"2900A",470,1356898
"2900C",532,541042
"2902A",584,696670
"2902C",421,269392
"2903A",21,75660
"2903C",17,37811
"2905A",215,95424
"2905C",86,30188
"2906A",138,394704
"2906C",152,174682
"2907A",199,338663
"2907C",257,135485
"2908A",241,268144
"2908C",230,113489
"2910A",116,156942
"2910C",279,56586
"2911A",79,95583
"2911C",128,31383
"2912A",104,118382
"2912C",119,37864
"2913A",1044,710443
"2913C",1210,262184
"2914A",119,162879
"2914C",120,61143
"2915A",22,63877
"2915C",36,19378
"2917A",399,1037792
"2917C",593,433990
"2918A",127,52366
"2918C",160,16385
"2919A",73,268357
"2919C",55,109375
"2920A",290,639935
"2920C",391,259888
"2921A",305,703239
"2921C",169,248968
"2922A",76,299219
"2922C",85,142277
"2923A",309,486946
"2923C",261,216835
"2924A",45,111472
"2924C",20,69547
"2925A",231,494979
"2925C",414,221761
"2926A",694,715776
"2926C",556,227922
"2927A",81,284302
"2927C",122,115272
"2928A",295,640685
"2928C",226,248863
"2930A",145,355957
"2930C",202,146849
"2931A",124,105775
"2931C",54,37624
"2932A",300,333129
"2932C",485,170049
"2933A",42,211968
"2933C",29,109173
"2934A",129,250069
"2934C",145,101441
"2935A",207,248301
"2935C",132,111243
"2936A",137,263924
"2936C",177,131182
"2937A",156,253508
"2937C",220,129385
"2939A",182,206985
"2939C",139,90145
"2940A",282,476281
"2940C",442,149537
"2941A",139,481609
"2941C",320,107521
"2944A",52,73738
"2944C",128,19945
"2945A",518,1206958
"2945C",851,438394
"2946A",87,255456
"2946C",220,87399
"2948A",27,92888
"2948C",45,37825
"2949A",190,231976
"2949C",237,69628
"2950A",608,458015
"2950C",514,160440
"2951A",243,540195
"2951C",373,204819
"2952A",159,230695
"2952C",142,115887
"2953A",713,456637
"2953C",787,203647
"2954A",145,273024
"2954C",80,105816
"2955A",51,91655
"2955C",28,34276
"2956A",289,588707
"2956C",333,227094
"2957A",66,101850
"2957C",112,44999
"2958A",129,409237
"2958C",178,157798
"2959A",102,242287
"2959C",161,105869
"2960A",29,137232
"2960C",14,66304
"2967A",62,460904
"2967C",19,183079
"2970A",261,375477
"2970C",206,149940
"2971A",72,152487
"2971C",31,64067
"2972A",301,440901
"2972C",141,151997
"2973A",171,293915
"2973C",150,116334
"2974A",93,279100
"2974C",137,108192
"2975A",82,136523
"2975C",73,53365
"2977A",25,93129
"2977C",25,36974
"2978A",30,74019
"2978C",5,32567
"2980A",1148,688758
"2980C",863,250386
"2981A",777,482756
"2981C",701,133857
"2982A",292,417787
"2982C",147,169706
"2983A",382,346074
"2983C",320,138163
"2984A",292,213515
"2984C",346,82573
"2985A",64,221077
"2985C",66,90602
"2986A",208,264790
"2986C",89,112606
"2988A",107,102245
"2988C",81,45653
"2990A",47,62360
"2990C",27,29114
"2991A",55,62405
"2991C",79,24570
"2992A",129,175962
"2992C",84,66232
"2993A",189,146245
"2993C",279,68146
"2997A",38,68543
"2997C",25,29867
"2999A",13,13125
"2999C",26,5634
"3010A",190,251287
"3010C",394,97769
"3013A",37,46856
"3013C",17,16538
"3014A",209,114247
"3014C",253,45571
"3015A",222,195807
"3015C",853,75741
"3016A",194,98261
"3016C",303,38669
"3018A",603,384283
"3018C",2715,149878
"3019A",66,262028
"3019C",458,93179
"3021A",219,766487
"3021C",1286,216092
"3024A",116,230928
"3024C",454,70411
"3030A",253,213222
"3030C",1004,86037
"3034A",53,44538
"3034C",146,18535
"3037A",69,41493
"3037C",400,15744
"3038A",243,171840
"3038C",1053,62618
"3042A",45,95146
"3042C",89,36543
"3057A",119,45849
"3057C",97,17935
"3060A",84,358448
"3060C",169,128045
"3062A",17,87405
"3062C",115,34815
"3063A",156,143518
"3063C",232,52304
"3064A",653,413149
"3064C",1048,149451
"3065A",284,153730
"3065C",100,58885
"3066A",229,123450
"3066C",118,50906
"3067A",70,176252
"3067C",34,68559
"3068A",111,221853
"3068C",715,80531
"3070A",924,942129
"3070C",1009,311881
"3071A",74,224110
"3071C",60,87085
"3073A",72,144184
"3073C",77,49606
"3074A",368,247959
"3074C",437,92916
"3075A",152,111169
"3075C",103,45155
"3076A",243,268407
"3076C",434,91268
"3077A",95,336742
"3077C",156,128762
"3078A",583,203571
"3078C",549,75385
"3079A",203,140104
"3079C",410,47543
"3080A",293,606092
"3080C",472,234018
"3081A",20,85038
"3081C",22,39140
"3083A",42,123643
"3083C",36,47721
"3085A",152,160352
"3085C",103,58893
"3086A",28,152696
"3086C",15,54308
"3087A",115,200126
"3087C",624,76989
"3088A",509,486996
"3088C",643,168758
"3100A",622,942921
"3100C",418,209113
"3103A",502,256391
"3103C",355,95779
"3104A",217,726481
"3104C",200,332331
"3105A",234,349704
"3105C",1126,130334
"3107A",24,123551
"3107C",26,45176
"3109A",59,266877
"3109C",620,116391
"3110A",113,127096
"3110C",382,47107
"3112A",648,1366201
"3112C",565,550066
"3113A",298,681569
"3113C",207,200747
"3114A",159,423221
"3114C",79,160128
"3115A",194,389932
"3115C",329,147988
"3117A",713,852824
"3117C",1469,322896
"3118A",46,39245
"3118C",55,13822
"3119A",121,124031
"3119C",154,46355
"3120A",64,173756
"3120C",118,67431
"3121A",18,148026
"3121C",32,54954
"3123A",135,81991
"3123C",153,31827
"3125A",83,238027
"3125C",317,94797
"3130A",57,205222
"3130C",370,83092
"3131A",18,98003
"3131C",72,41825
"3132A",118,120952
"3132C",153,50595
"3150A",180,240331
"3150C",820,88447
"3151A",200,197616
"3151C",629,72500
"3152A",231,392106
"3152C",1166,134903
"3153A",32,96002
"3153C",208,33979
"3154A",30,82849
"3154C",52,29051
"3155A",14,48581
"3155C",15,17090
"3156A",114,165281
"3156C",230,58457
"3157A",42,60524
"3157C",37,21892
"3160A",63,102474
"3160C",397,39546
"3161A",20,114097
"3161C",68,46922
"3162A",22,47841
"3162C",61,18217
"3163A",8,80685
"3163C",15,32169
"3164A",46,70785
"3164C",61,30219
"3165A",116,97814
"3165C",96,39490
"3170A",146,312214
"3170C",205,116492
"3172A",17,96495
"3172C",49,37988
"3173A",57,171959
"3173C",73,66240
"3175A",337,154407
"3175C",574,70087
"3176A",151,80695
"3176C",269,31130
"3178A",38,123873
"3178C",40,44868
"3180A",22,262605
"3180C",58,96737
"3183A",35,83767
"3183C",37,36243
"3186A",19,90247
"3186C",37,32739
"3187A",24,73693
"3187C",49,25353
"3189A",106,188929
"3189C",61,75093
"3190A",501,602109
"3190C",1228,234549
"3191A",201,802859
"3191C",557,330086
"3193A",74,212249
"3193C",139,86484
"3194A",171,262487
"3194C",265,90140
"3195A",33,109976
"3195C",94,41233
"3196A",21,100227
"3196C",98,41946
"3197A",43,169457
"3197C",247,65466
"3198A",21,119005
"3198C",77,42413
"3199A",130,156398
"3199C",75,61281
"3200A",163,342048
"3200C",208,101540
"3201A",132,369107
"3201C",763,135678
"3206A",269,162598
"3206C",771,69590
"3207A",760,542144
"3207C",729,205735
"3208A",271,354744
"3208C",1018,128101
"3209A",97,170855
"3209C",316,55801
"3210A",744,386032
"3210C",1354,144985
"3211A",497,238371
"3211C",792,91674
"3212A",727,660299
"3212C",1318,251912
"3214A",79,51468
"3214C",155,15981
"3215A",85,54918
"3215C",276,20981
"3216A",116,82620
"3216C",146,31627
"3217A",453,238150
"3217C",873,93320
"3218A",156,87962
"3218C",269,32956
"3220A",121,262898
"3220C",822,85917
"3221A",100,230810
"3221C",429,87853
"3223A",104,198573
"3223C",140,46716
"3224A",92,91211
"3224C",213,38430
"3225A",70,85442
"3225C",101,36341
"3226A",67,85841
"3226C",154,32328
"3227A",26,36778
"3227C",26,14456
"3228A",83,82591
"3228C",101,31957
"3229A",420,127639
"3229C",417,46048
"3230A",166,106686
"3230C",191,39853
"3231A",279,169559
"3231C",474,67206
"3232A",230,292987
"3232C",331,101946
"3233A",65,131452
"3233C",100,56733
"3234A",161,309989
"3234C",249,123852
"3236A",284,221615
"3236C",613,88300
"3238A",181,173655
"3238C",152,69055
"3239A",84,54993
"3239C",114,21379
"3240A",77,191817
"3240C",71,65557
"3241A",140,124467
"3241C",109,42966
"3242A",98,107307
"3242C",198,35227
"3243A",18,86717
"3243C",60,27514
"3244A",82,75364
"3244C",244,27010
"3245A",188,197722
"3245C",284,75047
"3246A",61,41025
"3246C",422,13579
"3249A",81,28867
"3249C",134,9624
"3253A",21,65666
"3253C",18,20216
"3254A",70,79090
"3254C",83,28902
"3255A",16,77011
"3255C",24,27012
"3261A",23,70255
"3261C",65,26301
"3262A",9,43805
"3262C",12,15999
"3263A",104,47326
"3263C",264,17556
"3264A",58,28848
"3264C",122,11050
"3265A",43,93307
"3265C",155,29544
"3267A",32,26819
"3267C",81,10226
"3270A",71,153024
"3270C",294,55023
"3271A",86,126323
"3271C",89,44501
"3272A",330,295734
"3272C",951,107435
"3273A",182,187973
"3273C",398,68460
"3275A",1039,492402
"3275C",3018,179397
"3276A",323,238570
"3276C",974,74949
"3277A",52,136182
"3277C",46,43151
"3278A",667,280161
"3278C",1171,111012
"3279A",99,96204
"3279C",191,36623
"3280A",369,317696
"3280C",916,116012
"3281A",273,268931
"3281C",753,103063
"3282A",381,388162
"3282C",565,128396
"3283A",587,425617
"3283C",2249,173821
"3284A",607,213578
"3284C",974,73614
"3285A",500,246635
"3285C",1071,91935
"3286A",264,335128
"3286C",2529,117928
"3287A",456,256577
"3287C",1206,88796
"3288A",147,61203
"3288C",112,18655
"3290A",352,200895
"3290C",741,81391
"3291A",228,194909
"3291C",372,80334
"3292A",129,173757
"3292C",476,64144
"3293A",490,203715
"3293C",1098,77433
"3294A",711,350969
"3294C",1825,141532
"3295A",790,306376
"3295C",2870,116427
"3296A",823,482135
"3296C",1852,178753
"3297A",330,157557
"3297C",834,62620
"3298A",112,113515
"3298C",362,45231
"3299A",101,91053
"3299C",399,36240
"3300A",1273,1153067
"3300C",2994,420655
"3301A",1353,532165
"3301C",2542,209332
"3302A",393,459569
"3302C",1325,192519
"3303A",333,557684
"3303C",568,164267
"3304A",201,112438
"3304C",521,48963
"3305A",208,278045
"3305C",441,103767
"3306A",125,189511
"3306C",329,71641
"3307A",314,180524
"3307C",754,69061
"3308A",89,84419
"3308C",399,39912
"3309A",126,110351
"3309C",412,45285
"3310A",228,266120
"3310C",513,111309
"3312A",50,88787
"3312C",229,36727
"3313A",129,94306
"3313C",508,41717
"3314A",212,122027
"3314C",392,47245
"3315A",252,161892
"3315C",290,67740
"3316A",92,95156
"3316C",101,38889
"3317A",404,254750
"3317C",878,114317
"3318A",19,40494
"3318C",58,16115
"3320A",250,263764
"3320C",352,102914
"3321A",177,222579
"3321C",248,77361
"3322A",396,473499
"3322C",623,181350
"3324A",142,169012
"3324C",429,62465
"3325A",230,338019
"3325C",446,131684
"3326A",49,192366
"3326C",44,69454
"3327A",359,451307
"3327C",908,171841
"3328A",399,444052
"3328C",631,161359
"3329A",102,272094
"3329C",241,101091
"3330A",292,814062
"3330C",2004,309214
"3331A",413,970038
"3331C",795,356207
"3333A",132,414738
"3333C",814,145986
"3334A",529,631465
"3334C",1502,225129
"3335A",103,276604
"3335C",64,110883
"3336A",234,381189
"3336C",159,135612
"3337A",176,390689
"3337C",462,119812
"3338A",207,300203
"3338C",461,124642
"3339A",225,266931
"3339C",516,94079
"3341A",56,150402
"3341C",88,50486
"3342A",120,306906
"3342C",139,103110
"3344A",31,155378
"3344C",544,60700
"3346A",107,260925
"3346C",130,94615
"3347A",761,208468
"3347C",638,81245
"3349A",34,168756
"3349C",77,66018
"3350A",79,219273
"3350C",200,82601
"3351A",35,165480
"3351C",118,63466
"3354A",100,111591
"3354C",269,44575
"3355A",37,86084
"3355C",96,30721
"3356A",51,194758
"3356C",144,72672
"3359A",23,144831
"3359C",22,54287
"3360A",164,146563
"3360C",518,62659
"3361A",68,116795
"3361C",102,46157
"3362A",25,92617
"3362C",22,34654
"3365A",61,167569
"3365C",112,67858
"3366A",36,150950
"3366C",151,63964
"3367A",56,59853
"3367C",89,29358
"3368A",21,125533
"3368C",17,48227
"3370A",776,423996
"3370C",2993,160440
"3371A",381,280028
"3371C",1505,105720
"3372A",182,246454
"3372C",380,79104
"3373A",534,287984
"3373C",1187,106882
"3374A",84,103529
"3374C",146,35906
"3376A",311,219966
"3376C",769,71925
"3377A",246,176568
"3377C",367,61383
"3378A",456,259917
"3378C",504,92640
"3379A",166,202950
"3379C",496,67987
"3380A",72,197595
"3380C",270,78373
"3381A",90,424488
"3381C",314,178666
"3383A",240,149190
"3383C",294,57904
"3384A",92,92771
"3384C",163,36654
"3385A",128,113034
"3385C",151,41281
"3386A",106,190441
"3386C",131,83141
"3388A",17,133547
"3388C",409,54892
"3390A",21,141684
"3390C",45,63064
"3395A",154,209297
"3395C",278,84983
"3400A",185,117451
"3400C",489,45575
"3401A",73,78469
"3401C",110,32353
"3402A",608,385606
"3402C",858,138334
"3403A",28,172236
"3403C",173,64766
"3404A",178,97437
"3404C",386,35054
"3407A",14,54900
"3407C",73,21587
"3409A",18,41853
"3409C",20,16079
"3410A",501,249509
"3410C",1449,98300
"3411A",113,74899
"3411C",90,27130
"3412A",8,28435
"3412C",15,10339
"3420A",26,117256
"3420C",81,41144
"3421A",86,106514
"3421C",490,39546
"3422A",49,82728
"3422C",213,32037
"3425A",27,37775
"3425C",54,14131
"3427A",48,89919
"3427C",290,35130
"3430A",191,371053
"3430C",335,145447
"3431A",147,202238
"3431C",142,78027
"3432A",138,444442
"3432C",151,150730
"3433A",62,96817
"3433C",68,38017
"3434A",35,89357
"3434C",89,35381
"3435A",122,151851
"3435C",288,65507
"3436A",205,199066
"3436C",247,80527
"3437A",109,100567
"3437C",203,42106
"3440A",266,452284
"3440C",583,178749
"3441A",699,698483
"3441C",1013,272450
"3442A",358,295745
"3442C",807,117464
"3443A",256,156008
"3443C",73,58551
"3444A",195,193664
"3444C",185,74939
"3445A",58,91372
"3445C",92,35200
"3446A",132,233519
"3446C",272,99907
"3448A",94,181547
"3448C",141,77337
"3450A",486,286727
"3450C",1070,115915
"3451A",207,171363
"3451C",823,72715
"3452A",596,453406
"3452C",1260,179126
"3453A",259,258576
"3453C",340,105883
"3454A",356,271913
"3454C",261,104186
"3456A",46,185582
"3456C",61,72080
"3458A",153,193125
"3458C",276,85876
"3460A",397,235263
"3460C",853,94736
"3461A",302,257703
"3461C",558,103925
"3462A",553,495504
"3462C",446,181661
"3463A",406,337975
"3463C",681,134545
"3464A",86,78263
"3464C",85,35310
"3465A",48,241121
"3465C",91,107882
"3467A",134,169463
"3467C",189,75811
"3468A",133,159576
"3468C",136,64886
"3469A",49,170815
"3469C",121,67596
"3470A",77,59282
"3470C",246,25944
"3471A",230,150569
"3471C",124,57028
"3472A",138,108838
"3472C",246,42649
"3473A",88,173495
"3473C",371,67605
"3474A",160,143971
"3474C",293,53396
"3475A",35,84075
"3475C",62,35422
"3476A",16,66989
"3476C",140,26468
"3478A",114,97904
"3478C",207,38036
"3479A",53,159604
"3479C",75,63457
"3480A",698,630328
"3480C",1571,221270
"3481A",855,861530
"3481C",2267,318352
"3482A",286,620851
"3482C",516,291308
"3483A",391,547428
"3483C",906,199885
"3484A",393,247374
"3484C",554,101337
"3485A",200,115405
"3485C",192,51008
"3486A",236,219659
"3486C",521,92456
"3487A",46,112346
"3487C",53,43991
"3488A",342,335870
"3488C",536,140012
"3489A",135,95818
"3489C",302,34020
"3490A",880,404525
"3490C",1897,167887
"3491A",43,58717
"3491C",133,23256
"3492A",217,190607
"3492C",503,78696
"3493A",366,154697
"3493C",729,71943
"3494A",855,287954
"3494C",1265,130604
"3495A",624,231297
"3495C",824,94471
"3496A",217,135741
"3496C",218,55865
"3498A",44,97286
"3498C",57,36375
"3499A",15,41382
"3499C",19,17273
"3500A",22,109565
"3500C",161,42314
"3501A",21,83631
"3501C",55,35047
"3502A",36,106193
"3502C",130,40966
"3506A",7,85942
"3506C",20,35406
"3510A",194,42872
"3510C",765,20736
"3511A",217,46583
"3511C",582,19797
"3512A",33,20471
"3512C",87,10087
"3513A",104,24294
"3513C",193,10100
"3514A",72,23648
"3514C",141,11148
"3515A",35,76254
"3515C",60,31310
"3520A",53,68904
"3520C",178,30820
"3523A",28,72681
"3523C",203,30688
"3524A",48,72918
"3524C",291,26807
"3526A",27,57447
"3526C",62,22387
"3530A",198,331810
"3530C",627,134810
"3531A",111,356761
"3531C",463,141353
"3535A",51,270338
"3535C",88,109201
"3540A",46,70709
"3540C",53,28892
"3541A",73,123349
"3541C",180,53295
"3542A",120,66132
"3542C",127,27619
"3543A",90,102030
"3543C",152,38061
"3544A",216,201724
"3544C",338,87251
"3548A",75,92804
"3548C",107,38775
"3549A",66,250375
"3549C",512,99954
"3550A",66,319844
"3550C",132,140062
"3551A",49,433613
"3551C",148,168538
"3553A",107,471977
"3553C",186,198285
"3554A",159,594613
"3554C",463,195487
"3561A",66,44766
"3561C",203,20186
"3570A",134,84168
"3570C",363,36335
"3572A",130,35328
"3572C",283,16828
"3600A",466,878499
"3600C",994,354513
"3601A",300,769694
"3601C",981,298271
"3604A",413,718804
"3604C",670,302364
"3605A",236,485952
"3605C",726,193653
"3606A",487,1645952
"3606C",511,617082
"3610A",24,158468
"3610C",43,65546
"3612A",53,116683
"3612C",72,43964
"3613A",23,76789
"3613C",37,31598
"3615A",24,104757
"3615C",45,39920
"3620A",59,159315
"3620C",76,63990
"3622A",58,236091
"3622C",106,96946
"3624A",56,77141
"3624C",205,32086
"3625A",69,98320
"3625C",58,39370
"3626A",122,85263
"3626C",267,35304
"3628A",39,112294
"3628C",196,43565
