"ID","ILI","popstat"
"10271A",416,132089
"10271C",741,49348
"10272A",2074,313222
"10272C",5566,114863
"10273A",1186,199449
"10273C",3249,72585
"10275A",3277,571297
"10275C",8254,215216
"10276A",1390,294019
"10276C",3081,97313
"10277A",313,145330
"10277C",476,50617
"10278A",783,284179
"10278C",1445,106414
"10279A",433,107476
"10279C",595,37466
"10280A",2623,356923
"10280C",4267,134048
"10281A",1747,313908
"10281C",3700,117447
"10282A",1371,447298
"10282C",2027,162117
"10283A",1695,432339
"10283C",5265,177079
"10284A",1247,244797
"10284C",1845,83589
"10285A",842,255676
"10285C",1993,94880
"10286A",1779,343077
"10286C",5845,119595
"10287A",1796,270027
"10287C",5172,92685
"10288A",310,62230
"10288C",534,19219
"10290A",2505,216318
"10290C",5888,81663
"10291A",2008,190178
"10291C",5308,73260
"10292A",1098,184460
"10292C",1796,69001
"10293A",1293,207958
"10293C",1911,76729
"10294A",2007,394612
"10294C",4418,148130
"10295A",2233,331379
"10295C",6671,116606
"10296A",4577,509030
"10296C",8638,186811
"10297A",1136,187651
"10297C",2052,70032
"10298A",446,116279
"10298C",1812,41714
"10299A",375,98064
"10299C",969,39724
"10300A",6737,1306754
"10300C",16217,495510
"10301A",4560,666146
"10301C",9734,268131
"10302A",2194,558139
"10302C",4921,225597
"10303A",1827,617026
"10303C",2079,192468
"10304A",650,120730
"10304C",1140,47542
"10305A",1631,336701
"10305C",4585,130519
"10306A",1244,218143
"10306C",1708,76788
"10307A",1594,193225
"10307C",3716,75069
"10308A",316,96026
"10308C",737,40410
"10309A",393,105156
"10309C",787,41937
"1030A",45,210787
"1030C",205,73907
"10310A",1088,286209
"10310C",2521,106412
"10312A",283,87699
"10312C",562,37036
"10313A",486,113164
"10313C",1617,45014
"10314A",609,120853
"10314C",1125,47871
"10315A",652,173127
"10315C",1414,67763
"10316A",346,99839
"10316C",716,39221
"10317A",549,202751
"10317C",1260,84206
"10318A",174,41754
"10318C",282,15734
"10320A",1837,331368
"10320C",4535,106659
"10321A",1374,283321
"10321C",2448,89992
"10322A",2843,512593
"10322C",5309,193652
"10324A",472,186142
"10324C",1544,60387
"10325A",690,354315
"10325C",1465,127985
"10326A",1418,208387
"10326C",2306,66779
"10327A",3582,509999
"10327C",9000,177519
"10328A",2515,499536
"10328C",4777,174950
"10329A",1630,316996
"10329C",2737,104755
"10330A",2857,864839
"10330C",14387,318374
"10331A",3209,1018248
"10331C",13732,338656
"10333A",1451,433503
"10333C",6885,149191
"10334A",4431,694128
"10334C",10160,242198
"10335A",2728,360558
"10335C",6381,136291
"10336A",2743,416685
"10336C",5466,146372
"10337A",2340,375969
"10337C",5711,115165
"10338A",1298,351530
"10338C",4495,134059
"10339A",1439,361453
"10339C",4660,124269
"10341A",517,178417
"10341C",1706,61586
"10342A",2205,356405
"10342C",3609,116664
"10344A",1135,200752
"10344C",2032,67359
"10346A",2187,326038
"10346C",2995,107536
"10347A",1785,322364
"10347C",3628,118517
"10349A",604,220424
"10349C",2646,77831
"1034A",30,43363
"1034C",25,17317
"10350A",1881,233692
"10350C",2966,85550
"10351A",869,176229
"10351C",1214,64192
"10354A",345,119673
"10354C",422,44271
"10355A",595,81486
"10355C",1048,28268
"10356A",645,197083
"10356C",1746,70180
"10359A",925,146066
"10359C",2653,54267
"10360A",311,155506
"10360C",449,58418
"10361A",259,115011
"10361C",279,46940
"10362A",621,95102
"10362C",802,34714
"10365A",347,184630
"10365C",796,70654
"10366A",387,149651
"10366C",387,61059
"10367A",107,58930
"10367C",184,25598
"10368A",357,132741
"10368C",464,49018
"10370A",3598,487169
"10370C",9957,177832
"10371A",3140,336912
"10371C",7808,122651
"10372A",1285,250055
"10372C",2796,85972
"10373A",1635,301642
"10373C",3156,106500
"10374A",386,108222
"10374C",189,37062
"10376A",1322,221341
"10376C",2464,70604
"10377A",898,184730
"10377C",1721,61530
"10378A",1754,276781
"10378C",3244,94005
"10379A",841,221027
"10379C",2347,74529
"1037A",40,40618
"1037C",78,15462
"10380A",1707,216042
"10380C",4166,81082
"10381A",2008,408385
"10381C",4096,166095
"10383A",1564,150282
"10383C",2046,55915
"10384A",1382,95799
"10384C",2052,34294
"10385A",853,118667
"10385C",2121,40896
"10386A",1827,212434
"10386C",3428,88975
"10388A",1092,134426
"10388C",2339,52738
"1038A",22,169166
"1038C",105,59060
"10390A",287,147864
"10390C",1382,61004
"10395A",552,194043
"10395C",1721,78422
"10400A",1620,138485
"10400C",4229,49588
"10401A",797,81105
"10401C",1751,29958
"10402A",4432,386982
"10402C",9593,137987
"10403A",1407,184782
"10403C",3733,66656
"10404A",1058,103724
"10404C",2777,36180
"10407A",357,58614
"10407C",1966,21393
"10409A",225,40118
"10409C",500,13790
"10410A",3000,269553
"10410C",4146,100372
"10411A",773,73964
"10411C",1500,24832
"10412A",242,27449
"10412C",364,9340
"10420A",862,118698
"10420C",1829,39495
"10421A",1826,115101
"10421C",5019,40874
"10422A",477,86419
"10422C",1031,37103
"10425A",840,40274
"10425C",2196,14015
"10427A",1310,93188
"10427C",3163,33402
"1042A",60,90563
"1042C",134,37015
"10430A",3251,424236
"10430C",5341,161530
"10431A",1782,221377
"10431C",2430,81946
"10432A",2915,426569
"10432C",2899,150380
"10433A",833,99235
"10433C",1036,35244
"10434A",612,92657
"10434C",766,32795
"10435A",722,156419
"10435C",1152,57860
"10436A",993,186040
"10436C",1150,72737
"10437A",517,102352
"10437C",1199,37114
"10440A",3279,462148
"10440C",5536,168277
"10441A",4102,644059
"10441C",5930,240608
"10442A",1670,309297
"10442C",2406,111956
"10443A",799,151128
"10443C",581,55298
"10444A",655,185011
"10444C",1012,62798
"10445A",216,85274
"10445C",326,30747
"10446A",1280,237581
"10446C",2104,90953
"10448A",632,180110
"10448C",1748,67615
"10450A",3036,322183
"10450C",5208,123206
"10451A",1294,187122
"10451C",2807,71556
"10452A",3630,452911
"10452C",3267,167814
"10453A",1533,262409
"10453C",2605,97058
"10454A",1617,253782
"10454C",3470,93893
"10456A",1574,188270
"10456C",2873,65392
"10458A",1304,194316
"10458C",1933,76097
"10460A",471,280139
"10460C",1204,112130
"10461A",1278,292617
"10461C",2594,109838
"10462A",961,489187
"10462C",1558,186493
"10463A",1893,353859
"10463C",4543,131215
"10464A",235,75433
"10464C",468,33536
"10465A",1448,253809
"10465C",3113,105382
"10467A",740,177520
"10467C",1593,71207
"10468A",1304,161136
"10468C",2512,64788
"10469A",338,163765
"10469C",889,60784
"10470A",260,63137
"10470C",389,23727
"10471A",2052,157268
"10471C",4711,55742
"10472A",245,109847
"10472C",409,41691
"10473A",388,167795
"10473C",830,61399
"10474A",808,146239
"10474C",2658,49843
"10475A",696,84553
"10475C",1769,31727
"10476A",442,68817
"10476C",805,24881
"10478A",316,101453
"10478C",716,35816
"10479A",408,165990
"10479C",747,61330
"10480A",2856,632995
"10480C",4618,217608
"10481A",3798,852146
"10481C",6030,304635
"10482A",935,598492
"10482C",1175,263429
"10483A",1892,533752
"10483C",3749,196983
"10484A",1347,252315
"10484C",1881,91139
"10485A",483,107551
"10485C",380,46024
"10486A",703,212339
"10486C",1343,79664
"10487A",495,108235
"10487C",966,37509
"10488A",1622,356410
"10488C",2762,127487
"10489A",506,89433
"10489C",646,32835
"10490A",2890,407353
"10490C",4885,151888
"10491A",306,57937
"10491C",793,20572
"10492A",879,195008
"10492C",1372,71321
"10493A",1307,175476
"10493C",2312,71813
"10494A",1672,306303
"10494C",2157,121650
"10495A",1768,226138
"10495C",2380,88165
"10496A",1720,142470
"10496C",1417,48580
"10498A",477,98376
"10498C",688,31248
"10499A",120,42699
"10499C",266,13846
"10500A",101,126235
"10500C",333,45464
"10501A",424,88221
"10501C",590,34256
"10502A",254,117963
"10502C",486,43374
"10506A",176,87595
"10506C",379,32176
"10510A",329,42997
"10510C",906,17254
"10511A",283,44612
"10511C",708,19161
"10512A",78,21260
"10512C",171,9097
"10513A",186,23780
"10513C",404,8465
"10514A",163,23128
"10514C",198,9105
"10515A",231,77248
"10515C",301,29280
"10520A",284,72727
"10520C",599,28281
"10523A",891,80112
"10523C",1588,30786
"10524A",911,73962
"10524C",1287,28068
"10526A",244,54829
"10526C",342,20053
"10530A",883,345761
"10530C",1849,123018
"10531A",605,376791
"10531C",2315,134583
"10535A",359,293403
"10535C",395,108654
"10540A",115,83524
"10540C",193,29811
"10541A",199,136134
"10541C",265,49983
"10542A",54,70130
"10542C",51,23207
"10543A",336,101426
"10543C",265,35700
"10544A",265,210945
"10544C",381,75465
"10548A",514,97419
"10548C",662,32873
"10549A",201,264155
"10549C",270,91370
"10550A",540,375452
"10550C",883,141928
"10551A",714,414200
"10551C",1123,155276
"10553A",742,545849
"10553C",806,209273
"10554A",1029,578677
"10554C",1101,186908
"10561A",163,43549
"10561C",282,16841
"10570A",68,92494
"10570C",171,34142
"10572A",19,35190
"10572C",56,13679
"1057A",110,45739
"1057C",100,17768
"10600A",2436,908810
"10600C",10015,355912
"10601A",2529,800558
"10601C",6084,305945
"10604A",2307,799162
"10604C",5006,311266
"10605A",1469,561685
"10605C",4896,223003
"10606A",2834,1599052
"10606C",2578,580142
"1060A",52,350591
"1060C",139,118583
"10610A",394,169775
"10610C",847,62304
"10612A",486,113730
"10612C",1370,40496
"10613A",349,79176
"10613C",591,28572
"10615A",411,108512
"10615C",862,37767
"10620A",734,167653
"10620C",883,59274
"10622A",831,252171
"10622C",1248,91872
"10624A",335,78482
"10624C",700,27507
"10625A",608,94271
"10625C",840,34606
"10626A",369,86497
"10626C",386,30597
"10628A",539,111742
"10628C",817,38573
"1062A",17,83388
"1062C",17,32206
"1063A",41,136816
"1063C",198,49351
"10640A",1502,323226
"10640C",2060,125264
"10641A",1201,305247
"10641C",1210,109081
"1064A",516,402990
"1064C",1054,137167
"10650A",79,78855
"10650C",116,28578
"1065A",195,145893
"1065C",228,55673
"10660A",1105,274646
"10660C",1326,101881
"10661A",503,78815
"10661C",482,32879
"10662A",776,207274
"10662C",1133,74073
"10667A",155,61675
"10667C",312,22817
"1066A",367,120804
"1066C",137,45547
"10670A",204,91107
"10670C",300,37505
"1067A",132,171452
"1067C",42,62522
"10680A",671,99571
"10680C",1501,40158
"10681A",1271,317983
"10681C",1485,123818
"10683A",108,40640
"10683C",159,15451
"10684A",74,35983
"10684C",99,13820
"10685A",467,152043
"10685C",366,52752
"10686A",97,35891
"10686C",179,14800
"10687A",268,64318
"10687C",440,26214
"10688A",1343,83273
"10688C",1912,33831
"10689A",335,37015
"10689C",543,14022
"1068A",85,212013
"1068C",21,70328
"10700A",1143,314575
"10700C",2804,117154
"10703A",307,148975
"10703C",1428,57093
"10704A",1045,230729
"10704C",2750,90860
"10705A",1650,336738
"10705C",2815,135925
"10706A",320,136666
"10706C",272,52819
"10707A",620,219990
"10707C",1512,83459
"10708A",523,206889
"10708C",944,80126
"1070A",581,861264
"1070C",926,266631
"10710A",563,94073
"10710C",852,36030
"10711A",693,157989
"10711C",956,63323
"10712A",1302,173271
"10712C",2468,70333
"10713A",316,105908
"10713C",1360,41472
"10714A",295,103148
"10714C",832,40000
"10717A",173,56727
"10717C",703,21420
"10718A",213,65982
"10718C",955,25904
"1071A",47,213235
"1071C",39,81975
"10725A",242,51790
"10725C",298,18148
"10730A",3506,355635
"10730C",7558,130046
"10731A",2698,342759
"10731C",5017,129518
"10734A",270,45763
"10734C",357,17504
"10735A",679,104819
"10735C",1519,45562
"10737A",238,55098
"10737C",537,19318
"10738A",167,16181
"10738C",202,5683
"1073A",35,138711
"1073C",157,46370
"10740A",795,319283
"10740C",2475,121258
"10741A",550,219246
"10741C",2112,81008
"10743A",127,65917
"10743C",191,24893
"10744A",506,115602
"10744C",576,43572
"10745A",194,47723
"10745C",271,16998
"10748A",783,102934
"10748C",1090,38484
"1074A",275,258110
"1074C",166,86340
"10750A",11820,1186348
"10750C",28157,463605
"10751A",2851,400985
"10751C",6386,163509
"10752A",3626,758435
"10752C",6902,279269
"10754A",1191,171511
"10754C",2841,65367
"10755A",473,68631
"10755C",1185,24387
"10756A",866,172468
"10756C",1774,66429
"10757A",1242,174011
"10757C",3537,69528
"10758A",408,71485
"10758C",559,20548
"10759A",759,130405
"10759C",1147,52266
"1075A",77,105953
"1075C",46,42776
"10760A",5336,634724
"10760C",11064,240032
"10761A",3994,509152
"10761C",7042,204105
"10762A",2076,232617
"10762C",4491,88899
"10763A",182,90744
"10763C",237,37940
"10764A",231,72294
"10764C",456,27292
"10765A",1118,248470
"10765C",2335,99175
"10766A",266,81453
"10766C",447,32773
"10767A",111,91405
"10767C",331,38546
"1076A",56,272863
"1076C",325,79877
"10770A",3628,1684812
"10770C",8630,660779
"10773A",2666,561894
"10773C",4745,220757
"10774A",1838,516100
"10774C",5597,211692
"10775A",1797,615079
"10775C",3448,245342
"10776A",492,139931
"10776C",1333,53472
"10778A",533,157424
"10778C",633,58710
"10779A",388,84333
"10779C",914,34538
"1077A",15,331944
"1077C",18,117989
"10780A",504,256115
"10780C",1040,122375
"10781A",426,204510
"10781C",704,76304
"10782A",3217,829818
"10782C",4544,349634
"10783A",673,120987
"10783C",1682,53156
"10784A",830,154944
"10784C",2375,63298
"10785A",4493,598322
"10785C",9734,324789
"10786A",1760,456730
"10786C",3573,178362
"10787A",1373,568502
"10787C",2587,180676
"10789A",116,34657
"10789C",207,13522
"1078A",425,197758
"1078C",338,68574
"10790A",502,108535
"10790C",810,47861
"10791A",857,119230
"10791C",1109,47141
"10797A",1094,193023
"10797C",2287,81581
"10799A",1673,363234
"10799C",4773,169971
"1079A",150,144399
"1079C",249,43331
"10800A",3529,461101
"10800C",6088,168000
"10801A",3316,371812
"10801C",7556,136818
"10802A",3943,561265
"10802C",4305,185046
"10803A",296,73559
"10803C",352,18424
"10804A",748,128129
"10804C",1553,34956
"10805A",2725,281365
"10805C",2716,95253
"10806A",935,136421
"10806C",1111,52085
"10808A",419,65703
"10808C",570,23862
"10809A",1821,286400
"10809C",2365,105332
"1080A",381,586441
"1080C",370,215807
"10810A",1213,125494
"10810C",1560,45203
"10811A",65,39038
"10811C",126,14608
"1081A",16,83426
"1081C",8,39185
"10820A",601,67262
"10820C",1127,24177
"10836A",804,232174
"10836C",1967,100340
"10837A",624,145328
"10837C",1127,50965
"10838A",429,135844
"10838C",765,50286
"1083A",42,118113
"1083C",27,47821
"10840A",1448,654533
"10840C",1422,312006
"10841A",613,327194
"10841C",407,121810
"10850A",3862,817112
"10850C",7701,330901
"10852A",5513,1025415
"10852C",9288,399103
"10853A",3704,600023
"10853C",6506,257925
"10856A",643,136855
"10856C",1171,58145
"10857A",2794,491036
"10857C",3819,181731
"1085A",98,162591
"1085C",66,58347
"1086A",15,143379
"1086C",6,52966
"1087A",130,193642
"1087C",407,74017
"10880A",1473,138125
"10880C",2989,59267
"1088A",590,474467
"1088C",270,155773
"10890A",987,342785
"10890C",1741,133796
"10891A",2868,738103
"10891C",4541,270307
"10900A",5395,1449660
"10900C",6879,544041
"10902A",3372,713390
"10902C",5489,282757
"10903A",197,78653
"10903C",412,35513
"10905A",730,99154
"10905C",1104,33286
"10906A",1661,398884
"10906C",3195,168098
"10907A",1588,345113
"10907C",2740,137973
"10908A",1108,271551
"10908C",1382,110232
"10910A",931,160332
"10910C",2325,56191
"10911A",618,100203
"10911C",996,33550
"10912A",664,121888
"10912C",1175,37374
"10913A",5398,755421
"10913C",10352,291163
"10914A",766,183890
"10914C",1362,67839
"10915A",311,64187
"10915C",537,19169
"10917A",5706,1134419
"10917C",9058,460397
"10918A",241,50224
"10918C",244,15864
"10919A",1161,287899
"10919C",1255,114363
"10920A",3691,678466
"10920C",4846,262256
"10921A",3251,761331
"10921C",2601,255712
"10922A",1451,426830
"10922C",2079,172449
"10923A",2694,606310
"10923C",3840,279833
"10924A",370,124019
"10924C",595,62304
"10925A",3646,712738
"10925C",6656,308275
"10926A",6499,742876
"10926C",9542,257153
"10927A",1823,280520
"10927C",3815,119345
"10928A",4138,680064
"10928C",8644,269516
"10930A",2592,374056
"10930C",4127,148608
"10931A",109,107159
"10931C",39,34190
"10932A",3219,423092
"10932C",6486,183816
"10933A",2281,277987
"10933C",3005,124604
"10934A",1471,264066
"10934C",1750,94870
"10935A",1095,279117
"10935C",1152,126457
"10936A",2187,316671
"10936C",4741,141402
"10937A",2332,293845
"10937C",3257,133879
"10939A",1487,214073
"10939C",1743,83391
"10940A",1318,458247
"10940C",2579,141382
"10941A",1585,503580
"10941C",1645,97061
"10944A",227,71841
"10944C",666,21431
"10945A",4404,1254963
"10945C",6688,453662
"10946A",723,247766
"10946C",1099,83395
"10948A",216,94182
"10948C",280,36102
"10949A",793,209741
"10949C",1814,64891
"10950A",2040,467534
"10950C",3190,160419
"10951A",2856,574653
"10951C",4596,202625
"10952A",912,270211
"10952C",1677,116629
"10953A",4142,559735
"10953C",5528,241239
"10954A",894,273914
"10954C",829,92032
"10955A",451,95010
"10955C",603,28119
"10956A",2205,661821
"10956C",3210,230623
"10957A",647,148855
"10957C",1068,57027
"10958A",1303,461214
"10958C",1965,178722
"10959A",1675,283172
"10959C",2320,101140
"10960A",1789,163094
"10960C",1773,56103
"10967A",100,500072
"10967C",82,175237
"10970A",1125,438598
"10970C",1219,157420
"10971A",415,180923
"10971C",408,67884
"10972A",1220,475647
"10972C",878,148160
"10973A",1569,324633
"10973C",1626,116476
"10974A",684,299973
"10974C",347,94427
"10975A",870,148210
"10975C",1490,51240
"10977A",1230,123039
"10977C",1738,41238
"10978A",292,75096
"10978C",427,28354
"10980A",3524,747366
"10980C",3194,257303
"10981A",2221,523799
"10981C",1536,126642
"10982A",887,489095
"10982C",1179,175811
"10983A",1497,388243
"10983C",1636,140636
"10984A",846,226945
"10984C",1032,81613
"10985A",841,255223
"10985C",1050,85718
"10986A",1571,317951
"10986C",2757,119307
"10988A",292,110042
"10988C",316,45838
"10990A",341,79374
"10990C",326,28447
"10991A",312,63123
"10991C",359,20522
"10992A",887,185032
"10992C",710,65370
"10993A",795,176838
"10993C",1172,73960
"10997A",406,76690
"10997C",353,30591
"10999A",78,12077
"10999C",56,3954
"1100A",72,915505
"1100C",38,219235
"1103A",18,247545
"1103C",9,90799
"1104A",30,699737
"1104C",27,297029
"1105A",160,357818
"1105C",113,121481
"1107A",50,121780
"1107C",28,42220
"1109A",44,274067
"1109C",294,105588
"1110A",17,131316
"1110C",8,40126
"1112A",117,1240586
"1112C",70,537133
"1113A",75,584271
"1113C",13,180338
"1114A",96,366591
"1114C",64,139607
"1115A",76,386079
"1115C",51,126838
"1117A",467,862917
"1117C",1008,296041
"1118A",9,39645
"1118C",81,12256
"1119A",18,119128
"1119C",10,46458
"1120A",65,169744
"1120C",135,65856
"1121A",29,150552
"1121C",33,56152
"1123A",100,80209
"1123C",168,29593
"1125A",26,239150
"1125C",74,85093
"1130A",83,209740
"1130C",196,82470
"1131A",22,98381
"1131C",53,40156
"1132A",206,121803
"1132C",150,48800
"1150A",152,233148
"1150C",609,82742
"1151A",148,196143
"1151C",601,68953
"1152A",276,384056
"1152C",1263,131031
"1153A",24,95304
"1153C",74,35586
"1154A",35,79676
"1154C",41,30046
"1155A",8,46496
"1155C",13,18683
"1156A",66,167476
"1156C",157,57137
"1157A",44,60802
"1157C",54,24523
