"season","c_m","zip3","ILIsum","popstatsum"
"5","A","010","921","260825"
"5","C","010","803","93632"
"5","A","011","403","89435"
"5","C","011","252","38895"
"5","A","012","20","69942"
"5","C","012","171","25010"
"5","A","013","124","47796"
"5","C","013","54","16122"
"5","A","014","624","119185"
"5","C","014","512","44684"
"5","A","015","544","207228"
"5","C","015","974","74988"
"5","A","016","336","102632"
"5","C","016","473","36993"
"5","A","017","950","213713"
"5","C","017","807","72365"
"5","A","018","1326","388681"
"5","C","018","3118","145142"
"5","A","019","228","270029"
"5","C","019","853","91028"
"5","A","020","661","219371"
"5","C","020","384","80493"
"5","A","021","1150","763420"
"5","C","021","1545","202451"
"5","A","023","611","249145"
"5","C","023","808","91930"
"5","A","024","913","228218"
"5","C","024","1086","68497"
"5","A","025","106","64989"
"5","C","025","203","21406"
"5","A","026","204","80330"
"5","C","026","63","25065"
"5","A","027","588","295253"
"5","C","027","857","102808"
"5","A","028","380","393880"
"5","C","028","598","132125"
"5","A","029","62","219501"
"5","C","029","308","76230"
"5","A","030","597","219763"
"5","C","030","1163","86229"
"5","A","031","149","84506"
"5","C","031","109","29164"
"5","A","032","270","104413"
"5","C","032","347","39163"
"5","A","033","139","34806"
"5","C","033","223","12229"
"5","A","034","67","45602"
"5","C","034","73","17913"
"5","A","036","40","6933"
"5","C","036","30","2598"
"5","A","037","207","41721"
"5","C","037","343","15103"
"5","A","038","443","177795"
"5","C","038","810","61798"
"5","A","039","44","28747"
"5","C","039","62","10122"
"5","A","040","330","189313"
"5","C","040","185","67252"
"5","A","041","73","64779"
"5","C","041","63","18178"
"5","A","042","259","98060"
"5","C","042","128","34655"
"5","A","043","19","45614"
"5","C","043","8","15313"
"5","A","044","13","96210"
"5","C","044","89","32740"
"5","A","045","7","27229"
"5","C","045","13","9092"
"5","A","048","18","23560"
"5","C","048","14","7500"
"5","A","049","78","87829"
"5","C","049","21","31036"
"5","A","050","91","34471"
"5","C","050","198","12536"
"5","A","051","139","16431"
"5","C","051","101","5703"
"5","A","052","83","17939"
"5","C","052","34","6609"
"5","A","053","110","21219"
"5","C","053","142","7186"
"5","A","054","211","134966"
"5","C","054","486","48053"
"5","A","056","159","49357"
"5","C","056","206","16882"
"5","A","057","621","46787"
"5","C","057","135","16753"
"5","A","058","24","31530"
"5","C","058","63","11824"
"5","A","060","713","361396"
"5","C","060","500","134743"
"5","A","061","379","152260"
"5","C","061","219","64897"
"5","A","062","138","88998"
"5","C","062","103","35895"
"5","A","063","127","144258"
"5","C","063","90","54722"
"5","A","064","2053","387951"
"5","C","064","675","145729"
"5","A","065","825","153346"
"5","C","065","172","61040"
"5","A","066","721","120105"
"5","C","066","238","53505"
"5","A","067","240","177654"
"5","C","067","60","71002"
"5","A","068","486","248968"
"5","C","068","1469","98497"
"5","A","069","320","69342"
"5","C","069","391","21838"
"5","A","070","5609","935922"
"5","C","070","5058","317238"
"5","A","071","607","225511"
"5","C","071","372","91355"
"5","A","072","446","102809"
"5","C","072","459","39277"
"5","A","073","425","140187"
"5","C","073","579","48500"
"5","A","074","1497","252909"
"5","C","074","1266","97408"
"5","A","075","555","111395"
"5","C","075","610","47070"
"5","A","076","1148","266364"
"5","C","076","2236","94363"
"5","A","077","807","337811"
"5","C","077","1770","133030"
"5","A","078","1614","204854"
"5","C","078","2098","78259"
"5","A","079","1138","138143"
"5","C","079","1552","49743"
"5","A","080","1269","622987"
"5","C","080","1103","241263"
"5","A","081","128","84080"
"5","C","081","94","40861"
"5","A","082","267","129961"
"5","C","082","252","51661"
"5","A","083","119","126626"
"5","C","083","191","49204"
"5","A","084","24","33187"
"5","C","084","269","11457"
"5","A","085","540","169740"
"5","C","085","990","63766"
"5","A","086","103","151903"
"5","C","086","713","55589"
"5","A","087","391","210781"
"5","C","087","2063","80879"
"5","A","088","2546","499675"
"5","C","088","2350","177413"
"5","A","089","184","63565"
"5","C","089","165","20660"
"5","A","100","2882","934112"
