"season","c_m","zip3","ILIsum","popstatsum"
"7","A","010","582","262820"
"7","C","010","1449","91039"
"7","A","011","192","89736"
"7","C","011","213","39028"
"7","A","012","62","70196"
"7","C","012","72","23940"
"7","A","013","61","49078"
"7","C","013","73","15314"
"7","A","014","435","119164"
"7","C","014","415","44064"
"7","A","015","361","207608"
"7","C","015","1427","75923"
"7","A","016","253","104189"
"7","C","016","1115","37018"
"7","A","017","511","205731"
"7","C","017","381","75638"
"7","A","018","980","384506"
"7","C","018","2524","145852"
"7","A","019","247","265816"
"7","C","019","1323","92221"
"7","A","020","790","213875"
"7","C","020","284","83534"
"7","A","021","921","735623"
"7","C","021","1478","204432"
"7","A","023","394","246943"
"7","C","023","193","91095"
"7","A","024","585","224466"
"7","C","024","974","70025"
"7","A","025","51","64128"
"7","C","025","247","20652"
"7","A","026","109","79270"
"7","C","026","94","24051"
"7","A","027","911","296987"
"7","C","027","856","102496"
"7","A","028","349","391704"
"7","C","028","958","133310"
"7","A","029","205","220225"
"7","C","029","496","78710"
"7","A","030","388","219684"
"7","C","030","831","84165"
"7","A","031","39","85080"
"7","C","031","25","29789"
"7","A","032","80","107250"
"7","C","032","198","37356"
"7","A","033","12","35842"
"7","C","033","132","12164"
"7","A","034","43","47557"
"7","C","034","43","17207"
"7","A","037","24","42380"
"7","C","037","132","14714"
"7","A","038","537","178222"
"7","C","038","1629","61640"
"7","A","039","38","28709"
"7","C","039","75","9855"
"7","A","040","171","189986"
"7","C","040","163","66456"
"7","A","041","37","64221"
"7","C","041","85","18330"
"7","A","042","139","99267"
"7","C","042","154","34057"
"7","A","043","106","45920"
"7","C","043","71","14816"
"7","A","044","30","97794"
"7","C","044","98","32146"
"7","A","045","14","26889"
"7","C","045","13","8502"
"7","A","046","33","40172"
"7","C","046","33","13065"
"7","A","048","11","23571"
"7","C","048","15","7309"
"7","A","049","189","88679"
"7","C","049","188","30578"
"7","A","054","30","133731"
"7","C","054","91","47903"
"7","A","056","24","49254"
"7","C","056","28","15911"
"7","A","057","93","47088"
"7","C","057","37","15724"
"7","A","060","532","369286"
"7","C","060","624","129552"
"7","A","061","260","155163"
"7","C","061","296","61540"
"7","A","062","215","94836"
"7","C","062","180","35837"
"7","A","063","112","148021"
"7","C","063","94","52425"
"7","A","064","1487","393564"
"7","C","064","563","141897"
"7","A","065","718","157320"
"7","C","065","102","58665"
"7","A","066","577","124010"
"7","C","066","268","50480"
"7","A","067","138","182337"
"7","C","067","58","67810"
"7","A","068","473","249133"
"7","C","068","2025","99564"
"7","A","069","144","69465"
"7","C","069","580","21914"
"7","A","070","3734","923260"
"7","C","070","5772","320180"
"7","A","071","952","225909"
"7","C","071","756","90088"
"7","A","072","350","103282"
"7","C","072","355","38693"
"7","A","073","249","138636"
"7","C","073","680","48585"
"7","A","074","899","249792"
"7","C","074","1683","100177"
"7","A","075","209","112556"
"7","C","075","494","47374"
"7","A","076","715","269037"
"7","C","076","1445","96794"
"7","A","077","811","338890"
"7","C","077","2300","132624"
"7","A","078","1016","206153"
"7","C","078","2476","78861"
"7","A","079","700","136266"
"7","C","079","1753","53882"
"7","A","080","1246","642651"
"7","C","080","1101","242155"
"7","A","081","92","85500"
"7","C","081","56","39089"
"7","A","082","389","133100"
"7","C","082","313","51896"
"7","A","083","118","131517"
"7","C","083","116","48963"
"7","A","084","51","33312"
"7","C","084","256","12037"
"7","A","085","339","173278"
"7","C","085","710","67271"
"7","A","086","121","155572"
"7","C","086","161","55836"
"7","A","087","780","211349"
"7","C","087","2879","80604"
"7","A","088","2043","499000"
"7","C","088","2967","180546"
"7","A","089","143","64455"
"7","C","089","99","21116"
"7","A","100","2397","939702"
"7","C","100","2773","206318"
"7","A","101","144","36181"
"7","C","101","230","6302"
"7","A","102","13","6190"
"7","C","102","50","1053"
"7","A","103","403","266174"
"7","C","103","737","94343"
"7","A","104","1374","741586"
"7","C","104","1082","324914"
"7","A","105","2792","350945"
"7","C","105","5265","136939"
"7","A","106","119","45446"
