"season","c_m","zip3","ILIsum","popstatsum"
"1","C","186","19","32736"
"1","A","187","50","70385"
"1","C","187","45","24550"
"1","A","189","204","188093"
"1","C","189","75","68662"
"1","A","190","709","586024"
"1","C","190","1031","218922"
"1","A","191","319","750285"
"1","C","191","335","288349"
"1","A","193","97","210166"
"1","C","193","428","77584"
"1","A","194","253","249092"
"1","C","194","235","87466"
"1","A","195","49","110977"
"1","C","195","67","40104"
"1","A","196","18","99684"
"1","C","196","17","36902"
"1","A","197","47","164058"
"1","C","197","237","61114"
"1","A","198","16","115140"
"1","C","198","64","40833"
"1","A","199","124","145362"
"1","C","199","72","57639"
"1","A","200","58","301811"
"1","C","200","41","95716"
"1","A","201","117","337394"
"1","C","201","533","113869"
"1","A","206","217","158535"
"1","C","206","85","62432"
"1","A","207","375","532530"
"1","C","207","480","183413"
"1","A","208","90","354473"
"1","C","208","257","116238"
"1","A","209","34","159444"
"1","C","209","122","50994"
"1","A","210","557","383191"
"1","C","210","394","129999"
"1","A","211","343","229678"
"1","C","211","465","81029"
"1","A","212","565","623602"
"1","C","212","414","232359"
"1","A","214","127","47785"
"1","C","214","155","16286"
"1","A","215","132","51564"
"1","C","215","264","20169"
"1","A","216","129","80701"
"1","C","216","121","29903"
"1","A","217","587","228518"
"1","C","217","508","82774"
"1","A","218","87","84060"
"1","C","218","398","29602"
"1","A","220","56","252780"
"1","C","220","240","78722"
"1","A","221","45","235664"
"1","C","221","173","82960"
"1","A","223","18","179745"
"1","C","223","31","47532"
"1","A","224","27","88476"
"1","C","224","23","34995"
"1","A","225","49","80749"
"1","C","225","32","31828"
"1","A","226","172","80659"
"1","C","226","70","29592"
"1","A","227","59","35434"
"1","C","227","27","13304"
"1","A","228","61","78358"
"1","C","228","70","29027"
"1","A","229","651","117219"
"1","C","229","423","42569"
"1","A","230","113","94496"
"1","C","230","56","35340"
"1","A","231","292","159488"
"1","C","231","314","58687"
"1","A","232","511","281357"
"1","C","232","201","98242"
"1","A","233","72","131210"
"1","C","233","30","51535"
"1","A","234","291","313414"
"1","C","234","437","114539"
"1","A","236","71","214952"
"1","C","236","145","84558"
"1","A","237","19","52316"
"1","C","237","4","22228"
"1","A","238","328","165692"
"1","C","238","170","65513"
"1","A","239","255","52517"
"1","C","239","149","19078"
"1","A","240","119","181027"
"1","C","240","103","61444"
"1","A","241","229","121581"
"1","C","241","124","42835"
"1","A","242","124","104123"
"1","C","242","136","38629"
"1","A","243","36","83743"
"1","C","243","158","28250"
"1","A","244","168","75217"
"1","C","244","199","26681"
"1","A","245","372","192935"
"1","C","245","239","70505"
"1","A","246","52","40445"
"1","C","246","39","16460"
"1","A","247","9","33473"
"1","C","247","8","12394"
"1","A","249","51","27550"
"1","C","249","55","10029"
"1","A","250","17","40615"
"1","C","250","10","14810"
"1","A","252","23","31009"
"1","C","252","14","12499"
"1","A","253","27","62384"
"1","C","253","15","21692"
"1","A","254","40","73563"
"1","C","254","20","28609"
"1","A","255","30","74627"
"1","C","255","48","29135"
"1","A","257","13","39636"
"1","C","257","22","13744"
"1","A","258","21","43925"
"1","C","258","8","17824"
"1","A","259","24","26937"
"1","C","259","19","10533"
"1","A","261","71","72119"
"1","C","261","79","27798"
"1","A","262","35","44046"
"1","C","262","62","17917"
"1","A","263","118","44595"
"1","C","263","188","17488"
"1","A","264","48","30488"
"1","C","264","67","12629"
"1","A","265","136","86882"
"1","C","265","151","31937"
"1","A","266","25","17168"
"1","C","266","11","7485"
"1","A","267","41","26200"
"1","C","267","71","11112"
"1","A","270","145","148468"
"1","C","270","208","50742"
"1","A","271","143","112895"
"1","C","271","79","40875"
"1","A","272","379","272443"
"1","C","272","473","95527"
"1","A","273","139","182686"
"1","C","273","162","64112"
"1","A","275","1352","442608"
"1","C","275","2122","158510"
"1","A","276","488","217406"
"1","C","276","915","65698"
"1","A","277","58","127317"
"1","C","277","23","45694"
"1","A","278","800","272357"
"1","C","278","741","107445"
"1","A","279","48","92771"
"1","C","279","51","36112"
"1","A","280","602","290860"
"1","C","280","840","108003"
"1","A","281","475","238229"
"1","C","281","365","90455"
"1","A","282","275","347002"
"1","C","282","269","122764"
"1","A","283","975","392745"
"1","C","283","1222","162477"
"1","A","284","598","195959"
"1","C","284","466","71042"
"1","A","285","542","238970"
"1","C","285","567","90272"
"1","A","286","465","322732"
"1","C","286","1400","110667"
"1","A","287","453","241408"
"1","C","287","319","82467"
"1","A","288","97","52091"
"1","C","288","38","17586"
"1","A","290","388","178504"
"1","C","290","429","72940"
"1","A","291","158","195896"
"1","C","291","164","80954"
"1","A","292","274","170796"
"1","C","292","339","62194"
"1","A","293","342","197663"
"1","C","293","360","74064"
"1","A","294","390","348288"
"1","C","294","561","142634"
"1","A","295","645","282616"
"1","C","295","503","117462"
"1","A","296","881","452233"
"1","C","296","1437","169866"
"1","A","297","321","147942"
"1","C","297","181","59386"
"1","A","298","26","108888"
"1","C","298","10","45858"
"1","A","299","74","82273"
"1","C","299","45","39464"
"1","A","300","818","1024098"
"1","C","300","1646","351597"
"1","A","301","750","488031"
"1","C","301","685","186038"
"1","A","302","488","426571"
"1","C","302","814","170112"
"1","A","303","374","488471"
"1","C","303","277","162137"
"1","A","304","105","103466"
"1","C","304","40","48578"
"1","A","305","230","241539"
"1","C","305","205","94358"
"1","A","306","113","169950"
"1","C","306","146","66966"
"1","A","307","334","170522"
"1","C","307","185","68213"
"1","A","308","116","81237"
"1","C","308","61","35071"
"1","A","309","86","111918"
"1","C","309","58","47165"
"1","A","310","220","248774"
"1","C","310","412","103357"
"1","A","312","78","86633"
"1","C","312","397","36454"
"1","A","313","140","90790"
"1","C","313","235","39037"
"1","A","314","236","112851"
"1","C","314","297","47359"
"1","A","315","179","156426"
"1","C","315","128","67028"
"1","A","316","33","89387"
"1","C","316","17","40517"
"1","A","317","1122","238163"
"1","C","317","728","112116"
"1","A","318","49","38980"
"1","C","318","36","15509"
"1","A","319","73","102664"
"1","C","319","50","44310"
"1","A","320","240","246778"
"1","C","320","210","97937"
"1","A","321","244","218000"
"1","C","321","183","74722"
"1","A","322","262","428948"
"1","C","322","206","163864"
"1","A","324","64","158598"
"1","C","324","200","60397"
"1","A","325","281","328037"
"1","C","325","286","125847"
"1","A","326","213","168569"
"1","C","326","195","64040"
"1","A","327","396","422337"
"1","C","327","262","156248"
"1","A","328","580","366685"
"1","C","328","168","130639"
"1","A","329","57","267657"
"1","C","329","57","91956"
"1","A","330","283","727213"
"1","C","330","914","251893"
"1","A","331","101","917812"
"1","C","331","495","306228"
"1","A","333","371","375269"
"1","C","333","628","118538"
"1","A","334","477","556770"
