"1","00-01","H1 & B","5"
"2","01-02","H3","2"
"3","02-03","H1 & B","5"
"4","03-04","H3","2"
"5","04-05","H3 & B","6"
"6","05-06","H3","2"
"7","06-07","H1 & H3 & B","7"
"8","07-08","H3 & B","6"
"9","08-09","H1 & B","5"
"10","09-10","H1","1"
