"6","50-69 YEARS","2000-12-31","52","2380","50595805.0000","4.7039"
"6","50-69 YEARS","2001-01-07","1","2620","50595805.0000","5.1783"
"6","50-69 YEARS","2001-01-14","2","2520","50595805.0000","4.9807"
"6","50-69 YEARS","2001-01-21","3","2200","50595805.0000","4.3482"
"6","50-69 YEARS","2001-01-28","4","2460","50595805.0000","4.8621"
"6","50-69 YEARS","2001-02-04","5","2900","50595805.0000","5.7317"
"6","50-69 YEARS","2001-02-11","6","2380","50595805.0000","4.7039"
"6","50-69 YEARS","2001-02-18","7","2320","50595805.0000","4.5854"
"6","50-69 YEARS","2001-02-25","8","1600","50595805.0000","3.1623"
"6","50-69 YEARS","2001-03-04","9","1600","50595805.0000","3.1623"
"6","50-69 YEARS","2001-03-11","10","1640","50595805.0000","3.2414"
"6","50-69 YEARS","2001-03-18","11","1460","50595805.0000","2.8856"
"6","50-69 YEARS","2001-03-25","12","1100","50595805.0000","2.1741"
"6","50-69 YEARS","2001-04-01","13","1080","50595805.0000","2.1346"
"6","50-69 YEARS","2001-04-08","14","1160","50595805.0000","2.2927"
"6","50-69 YEARS","2001-04-15","15","1060","50595805.0000","2.0950"
"6","50-69 YEARS","2001-04-22","16","1000","50595805.0000","1.9764"
"6","50-69 YEARS","2001-04-29","17","980","50595805.0000","1.9369"
"6","50-69 YEARS","2001-05-06","18","1020","50595805.0000","2.0160"
"6","50-69 YEARS","2001-05-13","19","780","50595805.0000","1.5416"
"6","50-69 YEARS","2001-05-20","20","920","50595805.0000","1.8183"
"6","50-69 YEARS","2001-05-27","21","1180","50595805.0000","2.3322"
"6","50-69 YEARS","2001-06-03","22","720","50595805.0000","1.4230"
"6","50-69 YEARS","2001-06-10","23","820","50595805.0000","1.6207"
"6","50-69 YEARS","2001-06-17","24","740","50595805.0000","1.4626"
"6","50-69 YEARS","2001-06-24","25","700","50595805.0000","1.3835"
"6","50-69 YEARS","2001-07-01","26","800","50595805.0000","1.5812"
"6","50-69 YEARS","2001-07-08","27","700","50595805.0000","1.3835"
"6","50-69 YEARS","2001-07-15","28","800","50595805.0000","1.5812"
"6","50-69 YEARS","2001-07-22","29","660","50595805.0000","1.3045"
"6","50-69 YEARS","2001-07-29","30","680","50595805.0000","1.3440"
"6","50-69 YEARS","2001-08-05","31","800","50595805.0000","1.5812"
"6","50-69 YEARS","2001-08-12","32","700","50595805.0000","1.3835"
"6","50-69 YEARS","2001-08-19","33","940","50595805.0000","1.8579"
"6","50-69 YEARS","2001-08-26","34","800","50595805.0000","1.5812"
"6","50-69 YEARS","2001-09-02","35","1120","50595805.0000","2.2136"
"6","50-69 YEARS","2001-09-09","36","1160","50595805.0000","2.2927"
"6","50-69 YEARS","2001-09-16","37","860","50595805.0000","1.6997"
"6","50-69 YEARS","2001-09-23","38","840","50595805.0000","1.6602"
"6","50-69 YEARS","2001-09-30","39","1220","50595805.0000","2.4113"
"6","50-69 YEARS","2001-10-07","40","1280","50595805.0000","2.5299"
"6","50-69 YEARS","2001-10-14","41","1820","50595805.0000","3.5971"
"6","50-69 YEARS","2001-10-21","42","1880","50595805.0000","3.7157"
"6","50-69 YEARS","2001-10-28","43","1760","50595805.0000","3.4785"
"6","50-69 YEARS","2001-11-04","44","2000","50595805.0000","3.9529"
"6","50-69 YEARS","2001-11-11","45","1740","50595805.0000","3.4390"
"6","50-69 YEARS","2001-11-18","46","1500","50595805.0000","2.9647"
"6","50-69 YEARS","2001-11-25","47","1260","50595805.0000","2.4903"
"6","50-69 YEARS","2001-12-02","48","1780","50595805.0000","3.5181"
"6","50-69 YEARS","2001-12-09","49","1280","50595805.0000","2.5299"
"6","50-69 YEARS","2001-12-16","50","1920","50595805.0000","3.7948"
"6","50-69 YEARS","2001-12-23","51","2900","50595805.0000","5.7317"
"6","50-69 YEARS","2001-12-30","52","3240","50595805.0000","6.4037"
"6","50-69 YEARS","2002-01-06","1","2880","50595805.0000","5.6922"
"6","50-69 YEARS","2002-01-13","2","3260","50595805.0000","6.4432"
"6","50-69 YEARS","2002-01-20","3","4840","50595805.0000","9.5660"
"6","50-69 YEARS","2002-01-27","4","4700","50595805.0000","9.2893"
"6","50-69 YEARS","2002-02-03","5","5020","50595805.0000","9.9218"
"6","50-69 YEARS","2002-02-10","6","5140","50595805.0000","10.1589"
"6","50-69 YEARS","2002-02-17","7","6800","50595805.0000","13.4398"
"6","50-69 YEARS","2002-02-24","8","4460","50595805.0000","8.8150"
"6","50-69 YEARS","2002-03-03","9","4440","50595805.0000","8.7754"
"6","50-69 YEARS","2002-03-10","10","3240","50595805.0000","6.4037"
"6","50-69 YEARS","2002-03-17","11","3340","50595805.0000","6.6013"
"6","50-69 YEARS","2002-03-24","12","2740","50595805.0000","5.4155"
"6","50-69 YEARS","2002-03-31","13","2060","50595805.0000","4.0715"
"6","50-69 YEARS","2002-04-07","14","1840","50595805.0000","3.6367"
"6","50-69 YEARS","2002-04-14","15","1360","50595805.0000","2.6880"
"6","50-69 YEARS","2002-04-21","16","1540","50595805.0000","3.0437"
"6","50-69 YEARS","2002-04-28","17","1100","50595805.0000","2.1741"
"6","50-69 YEARS","2002-05-05","18","1440","50595805.0000","2.8461"
"6","50-69 YEARS","2002-05-12","19","1320","50595805.0000","2.6089"
"6","50-69 YEARS","2002-05-19","20","1240","50595805.0000","2.4508"
"6","50-69 YEARS","2002-05-26","21","1140","50595805.0000","2.2532"
"6","50-69 YEARS","2002-06-02","22","1100","50595805.0000","2.1741"
"6","50-69 YEARS","2002-06-09","23","1040","50595805.0000","2.0555"
"6","50-69 YEARS","2002-06-16","24","940","50595805.0000","1.8579"
"6","50-69 YEARS","2002-06-23","25","680","50595805.0000","1.3440"
"6","50-69 YEARS","2002-06-30","26","840","50595805.0000","1.6602"
"6","50-69 YEARS","2002-07-07","27","900","50595805.0000","1.7788"
"6","50-69 YEARS","2002-07-14","28","1380","50595805.0000","2.7275"
"6","50-69 YEARS","2002-07-21","29","1000","50595805.0000","1.9764"
"6","50-69 YEARS","2002-07-28","30","1300","50595805.0000","2.5694"
"6","50-69 YEARS","2002-08-04","31","1340","50595805.0000","2.6484"
"6","50-69 YEARS","2002-08-11","32","1280","50595805.0000","2.5299"
"6","50-69 YEARS","2002-08-18","33","1540","50595805.0000","3.0437"
"6","50-69 YEARS","2002-08-25","34","1740","50595805.0000","3.4390"
"6","50-69 YEARS","2002-09-01","35","1760","50595805.0000","3.4785"
"6","50-69 YEARS","2002-09-08","36","1540","50595805.0000","3.0437"
"6","50-69 YEARS","2002-09-15","37","1400","50595805.0000","2.7670"
"6","50-69 YEARS","2002-09-22","38","1400","50595805.0000","2.7670"
"6","50-69 YEARS","2002-09-29","39","1640","50595805.0000","3.2414"
"6","50-69 YEARS","2002-10-06","40","1300","50595805.0000","2.5694"
"6","50-69 YEARS","2002-10-13","41","1640","50595805.0000","3.2414"
"6","50-69 YEARS","2002-10-20","42","1720","50595805.0000","3.3995"
"6","50-69 YEARS","2002-10-27","43","1580","50595805.0000","3.1228"
"6","50-69 YEARS","2002-11-03","44","1400","50595805.0000","2.7670"
"6","50-69 YEARS","2002-11-10","45","1680","50595805.0000","3.3204"
"6","50-69 YEARS","2002-11-17","46","1600","50595805.0000","3.1623"
"6","50-69 YEARS","2002-11-24","47","2480","50595805.0000","4.9016"
"6","50-69 YEARS","2002-12-01","48","2000","50595805.0000","3.9529"
"6","50-69 YEARS","2002-12-08","49","2000","50595805.0000","3.9529"
"6","50-69 YEARS","2002-12-15","50","2500","50595805.0000","4.9411"
"6","50-69 YEARS","2002-12-22","51","3760","50595805.0000","7.4314"
"6","50-69 YEARS","2002-12-29","52","3640","50595805.0000","7.1943"
"6","50-69 YEARS","2003-01-05","1","2880","50595805.0000","5.6922"
"6","50-69 YEARS","2003-01-12","2","2240","50595805.0000","4.4272"
"6","50-69 YEARS","2003-01-19","3","2100","50595805.0000","4.1505"
