"2000","057","C","15-19 YEARS","6608"
"2000","057","C","5-9 YEARS","5601"
"2000","057","O","2-4 YEARS","3322"
"2000","057","O","<2 YEARS","2087"
"2000","060","A","20-29 YEARS","73611"
"2000","060","A","40-49 YEARS","105162"
"2000","060","A","50-59 YEARS","76989"
"2000","060","C","10-14 YEARS","41052"
"2000","060","C","15-19 YEARS","37432"
"2000","060","C","5-9 YEARS","40099"
"2000","060","O","2-4 YEARS","23557"
"2000","060","O","70-79 YEARS","40067"
"2000","060","O","<2 YEARS","15319"
"2000","062","A","30-39 YEARS","20552"
"2000","062","A","40-49 YEARS","22297"
"2000","062","O","2-4 YEARS","5570"
"2000","062","O","80+ YEARS","4467"
"2000","063","A","30-39 YEARS","37355"
"2000","063","A","40-49 YEARS","37124"
"2000","063","A","50-59 YEARS","27013"
"2000","063","C","10-14 YEARS","16320"
"2000","063","C","15-19 YEARS","16662"
"2000","063","C","5-9 YEARS","16369"
"2000","063","O","2-4 YEARS","10102"
"2000","063","O","60-69 YEARS","17633"
"2000","063","O","80+ YEARS","8075"
"2000","063","O","<2 YEARS","6817"
"2000","064","A","20-29 YEARS","84630"
"2000","064","A","30-39 YEARS","102946"
"2000","064","A","40-49 YEARS","121444"
"2000","064","A","50-59 YEARS","93970"
"2000","064","C","10-14 YEARS","47010"
"2000","064","C","15-19 YEARS","44584"
"2000","064","C","5-9 YEARS","45573"
"2000","064","O","2-4 YEARS","26409"
"2000","064","O","60-69 YEARS","59327"
"2000","064","O","70-79 YEARS","48917"
"2000","064","O","80+ YEARS","27675"
"2000","064","O","<2 YEARS","17231"
"2000","065","A","20-29 YEARS","38057"
"2000","065","A","30-39 YEARS","42329"
"2000","065","A","40-49 YEARS","38871"
"2000","065","A","50-59 YEARS","26636"
"2000","065","C","10-14 YEARS","18516"
"2000","065","C","15-19 YEARS","18711"
"2000","065","C","5-9 YEARS","18446"
"2000","065","O","2-4 YEARS","10960"
"2000","065","O","60-69 YEARS","18183"
"2000","065","O","70-79 YEARS","17033"
"2000","065","O","80+ YEARS","9584"
"2000","065","O","<2 YEARS","7371"
"2000","066","A","20-29 YEARS","27832"
