"1","<2 YEARS","137842","7845876","9068533","10968527","12456763","13630911","12715398","14697612","17313765","24514080","16522607"
"2","2-4 YEARS","76991","4717145","5530332","7586779","8434353","9640020","10251415","11694737","14241125","20764926","11308966"
"3","5-19 YEARS","255265","17468287","20518166","27974766","31803953","36151798","36693876","42412590","50256753","74725479","41797200"
"4","20-29 YEARS","196682","11972797","13932888","18213801","21448568","23922324","24545678","28617971","34381790","48854629","28242390"
"5","30-49 YEARS","622493","41422816","48608618","63623865","75296945","82132331","81704821","92952780","110330977","152770173","87249134"
"6","50-69 YEARS","661216","46191532","56144802","75995956","92146650","103558787","108204932","125171626","151439470","219198071","126644157"
"7","70+ YEARS","596529","41479961","49131417","64989728","74353827","81879654","85115196","93792147","110761265","159848496","87528834"
