"season","c_m","zip3","ILI","popstat"
"6","A","010","582","8543908"
"6","C","010","1294","3002088"
"6","O","010","965","2572095"
"6","A","011","223","2218106"
"6","C","011","323","1186871"
"6","O","011","314","547865"
"6","A","012","70","881259"
"6","C","012","158","554772"
"6","O","012","211","447922"
"6","A","013","85","697335"
"6","C","013","81","257206"
"6","O","013","96","221090"
"6","A","014","484","3667938"
"6","C","014","470","1389441"
"6","O","014","518","1228421"
"6","A","015","421","6374444"
"6","C","015","1158","2515215"
"6","O","015","957","2402278"
"6","A","016","244","2875509"
"6","C","016","714","1213358"
"6","O","016","937","1168721"
"6","A","017","793","6734726"
"6","C","017","716","2459663"
"6","O","017","859","2789144"
"6","A","018","1201","12611723"
"6","C","018","2520","4841724"
"6","O","018","2298","4735453"
"6","A","019","317","7640703"
"6","C","019","1999","3053361"
"6","O","019","1831","2491576"
"6","A","020","714","7012157"
"6","C","020","514","2616784"
"6","O","020","624","2892399"
"6","A","021","1342","24415119"
"6","C","021","1819","6753156"
"6","O","021","2048","8732241"
"6","A","022","6","46235"
"6","C","022","6","16417"
"6","A","023","592","7627735"
"6","C","023","963","3015999"
"6","O","023","745","2907775"
"6","A","024","885","7429290"
"6","C","024","1013","2324037"
"6","O","024","1423","2995767"
"6","A","025","76","876311"
"6","C","025","308","576497"
"6","O","025","198","391622"
"6","A","026","156","1433205"
"6","C","026","112","376668"
"6","O","026","125","882012"
"6","A","027","469","9124491"
"6","C","027","1370","3395568"
"6","O","027","813","2737385"
"6","A","028","161","9365985"
"6","C","028","485","4275021"
"6","O","028","511","3509726"
"6","A","029","89","2803586"
"6","C","029","254","2188929"
"6","O","029","296","1362010"
"6","A","030","424","7100465"
"6","C","030","1083","2747472"
"6","O","030","1055","2304302"
"6","A","031","44","959723"
"6","C","031","35","296823"
"6","O","031","46","265115"
"6","A","032","116","1890126"
"6","C","032","247","1019435"
"6","O","032","234","670818"
"6","A","033","38","249471"
"6","C","033","187","314137"
"6","O","033","133","127401"
"6","A","034","54","529232"
"6","C","034","42","186346"
"6","O","034","53","116287"
"6","A","035","24","107921"
"6","C","035","2","5759"
"6","O","035","21","51259"
"6","A","036","13","23062"
"6","C","036","26","18360"
"6","O","036","14","6133"
"6","A","037","75","512050"
"6","C","037","132","344524"
"6","O","037","131","159829"
"6","A","038","614","5730769"
"6","C","038","1747","2033796"
"6","O","038","1730","2005504"
"6","A","039","27","168788"
"6","C","039","91","155221"
"6","O","039","76","103279"
"6","A","040","249","4944823"
"6","C","040","229","1803982"
"6","O","040","254","1767852"
"6","A","041","42","503581"
"6","C","041","69","308608"
"6","O","041","74","223297"
"6","A","042","249","2562786"
"6","C","042","149","705882"
"6","O","042","235","863033"
"6","A","043","28","241277"
"6","C","043","11","45811"
"6","O","043","16","48437"
"6","A","044","13","266568"
"6","C","044","93","568884"
"6","O","044","79","271111"
"6","A","045","6","48527"
"6","C","045","2","3265"
"6","O","045","3","25951"
"6","A","046","25","210136"
"6","C","046","26","84996"
"6","O","046","55","104699"
"6","A","047","3","34318"
"6","C","047","7","31392"
"6","O","047","23","45240"
"6","A","048","27","121164"
"6","C","048","17","35685"
"6","O","048","17","34350"
"6","A","049","55","946964"
"6","C","049","44","295263"
"6","O","049","93","430210"
"6","A","050","50","303392"
"6","C","050","43","113672"
"6","O","050","33","62291"
"6","A","051","31","112053"
"6","C","051","25","29758"
"6","O","051","26","18858"
"6","A","052","7","36024"
"6","C","052","1","2379"
"6","O","052","3","7597"
"6","A","053","40","192177"
"6","C","053","22","42547"
"6","O","053","38","59819"
"6","A","054","57","1379619"
"6","C","054","295","1416234"
"6","O","054","287","504881"
"6","A","056","67","645535"
"6","C","056","69","272479"
"6","O","056","34","96983"
"6","A","057","444","1519607"
"6","C","057","110","329146"
"6","O","057","175","542926"
"6","A","058","18","124901"
"6","C","058","47","136602"
"6","O","058","44","80851"
"6","A","060","615","12091364"
"6","C","060","764","4146670"
"6","O","060","746","4628991"
"6","A","061","338","4395387"
"6","C","061","281","1620281"
"6","O","061","319","2041738"
"6","A","062","208","2245822"
"6","C","062","172","884549"
"6","O","062","191","546558"
"6","A","063","182","3363685"
"6","C","063","139","1072200"
"6","O","063","135","967624"
"6","A","064","1382","12988824"
"6","C","064","707","4582079"
"6","O","064","1004","5872785"
"6","A","065","581","5105282"
"6","C","065","178","1488112"
"6","O","065","378","1841412"
"6","A","066","486","4064259"
"6","C","066","197","1357050"
"6","O","066","595","1886424"
"6","A","067","164","3816735"
"6","C","067","80","1193467"
"6","O","067","109","1016037"
"6","A","068","344","7473877"
"6","C","068","2093","3272076"
"6","O","068","2449","3101899"
"6","A","069","159","1456006"
"6","C","069","368","625933"
"6","O","069","869","482604"
"6","A","070","2940","30506580"
"6","C","070","4073","10560564"
"6","O","070","5361","13584480"
"6","A","071","422","6570849"
"6","C","071","239","2314241"
"6","O","071","385","2222107"
"6","A","072","247","2823587"
"6","C","072","206","970238"
"6","O","072","265","805927"
"6","A","073","228","3656940"
"6","C","073","505","1463640"
"6","O","073","958","1103841"
"6","A","074","918","8167302"
"6","C","074","1166","3258664"
"6","O","074","1390","3167330"
"6","A","075","352","3094355"
"6","C","075","782","1406379"
"6","O","075","1044","1076056"
"6","A","076","665","8863641"
"6","C","076","1065","3179526"
"6","O","076","1075","3292466"
"6","A","077","602","10917084"
"6","C","077","1315","4365216"
"6","O","077","1392","4517437"
"6","A","078","896","6754804"
"6","C","078","1762","2592021"
"6","O","078","1694","2288525"
"6","A","079","689","4434591"
"6","C","079","1307","1764354"
