"season","c_m","zip3","ILI","popstat"
"8","A","010","821","8114440"
"8","C","010","1444","2917752"
"8","O","010","1107","2745285"
"8","A","011","296","2394528"
"8","C","011","279","1036309"
"8","O","011","293","693232"
"8","A","012","73","880125"
"8","C","012","71","377099"
"8","O","012","86","425713"
"8","A","013","117","764451"
"8","C","013","126","280056"
"8","O","013","106","217726"
"8","A","014","535","3471794"
"8","C","014","438","1292262"
"8","O","014","418","1112173"
"8","A","015","415","5944599"
"8","C","015","1584","2498925"
"8","O","015","1144","2384141"
"8","A","016","217","2631375"
"8","C","016","1483","1213630"
"8","O","016","1357","1080823"
"8","A","017","476","6060798"
"8","C","017","291","2094198"
"8","O","017","457","2477855"
"8","A","018","1738","12647771"
"8","C","018","2725","4806076"
"8","O","018","2635","5256937"
"8","A","019","287","6527482"
"8","C","019","1182","3010432"
"8","O","019","1003","2387220"
"8","A","020","1114","6918294"
"8","C","020","260","2312830"
"8","O","020","524","2973777"
"8","A","021","1018","24123209"
"8","C","021","1083","6709210"
"8","O","021","1173","8790269"
"8","A","022","10","66524"
"8","C","022","3","5214"
"8","O","022","8","805"
"8","A","023","640","7666447"
"8","C","023","287","2493249"
"8","O","023","350","2534413"
"8","A","024","760","6903436"
"8","C","024","760","2277264"
"8","O","024","1162","2949739"
"8","A","025","117","903837"
"8","C","025","249","430571"
"8","O","025","213","641880"
"8","A","026","96","1126308"
"8","C","026","126","442992"
"8","O","026","140","745581"
"8","A","027","1453","9661027"
"8","C","027","1029","3287558"
"8","O","027","1434","4001811"
"8","A","028","994","12068046"
"8","C","028","1868","4323293"
"8","O","028","1927","4899634"
"8","A","029","1179","6888983"
"8","C","029","1108","2587370"
"8","O","029","1864","2662871"
"8","A","030","621","6746981"
"8","C","030","846","2629131"
"8","O","030","857","2197333"
"8","A","031","60","911634"
"8","C","031","35","292319"
"8","O","031","65","272339"
"8","A","032","172","1980124"
"8","C","032","228","766408"
"8","O","032","224","650155"
"8","A","033","8","62282"
"8","C","033","123","269810"
"8","O","033","85","82076"
"8","A","034","92","728655"
"8","C","034","23","116885"
"8","O","034","41","162220"
"8","A","035","13","64617"
"8","C","035","2","5130"
"8","O","035","15","24856"
"8","A","036","5","8317"
"8","C","036","16","12218"
"8","O","036","18","5975"
"8","A","037","55","381059"
"8","C","037","197","329670"
"8","O","037","120","157827"
"8","A","038","1040","5875309"
"8","C","038","1769","1971556"
"8","O","038","1858","2365052"
"8","A","039","87","365010"
"8","C","039","144","212223"
"8","O","039","164","135235"
"8","A","040","274","4570110"
"8","C","040","248","1699614"
"8","O","040","276","1669501"
"8","A","041","72","761677"
"8","C","041","115","348059"
"8","O","041","101","320582"
"8","A","042","281","2112547"
"8","C","042","225","874299"
"8","O","042","270","790109"
"8","A","043","131","812848"
"8","C","043","64","189952"
"8","O","043","58","147309"
"8","A","044","229","1858049"
"8","C","044","197","711079"
"8","O","044","232","609840"
"8","A","045","12","78266"
"8","C","045","8","18139"
"8","O","045","16","37581"
"8","A","046","79","485552"
"8","C","046","54","143142"
"8","O","046","104","202447"
"8","A","047","6","69814"
"8","C","047","8","30716"
"8","O","047","9","43434"
"8","A","048","20","85288"
"8","C","048","15","33883"
"8","O","048","16","28385"
"8","A","049","308","2247344"
"8","C","049","245","783997"
"8","O","049","236","732134"
"8","A","050","3","63766"
"8","C","050","4","13701"
"8","O","050","5","28509"
"8","A","051","12","49538"
"8","C","051","5","8392"
"8","O","051","5","9783"
"8","A","052","12","58610"
"8","C","052","2","3749"
"8","O","052","5","13121"
"8","A","053","58","218951"
"8","C","053","13","28247"
"8","O","053","49","83209"
"8","A","054","37","837269"
"8","C","054","69","599566"
"8","O","054","91","398020"
"8","A","056","28","301465"
"8","C","056","24","112621"
"8","O","056","23","83092"
"8","A","057","93","1400860"
"8","C","057","30","193748"
"8","O","057","42","405977"
"8","A","058","9","72641"
"8","C","058","28","82837"
"8","O","058","17","53778"
"8","A","060","747","11418175"
"8","C","060","575","4029594"
"8","O","060","901","4660055"
"8","A","061","371","4260345"
"8","C","061","308","1621796"
"8","O","061","329","1746923"
"8","A","062","99","1380765"
"8","C","062","138","661128"
"8","O","062","137","450752"
"8","A","063","129","2434740"
"8","C","063","135","914650"
"8","O","063","163","913313"
"8","A","064","1289","13087071"
"8","C","064","1139","4615803"
"8","O","064","1200","5230467"
"8","A","065","623","4726372"
"8","C","065","385","1765111"
"8","O","065","666","1868928"
"8","A","066","847","3962889"
"8","C","066","291","1384397"
"8","O","066","726","1816368"
"8","A","067","283","4079063"
"8","C","067","134","1248654"
"8","O","067","196","1550577"
"8","A","068","794","7744104"
"8","C","068","2481","3288173"
"8","O","068","2547","3217879"
"8","A","069","180","1338482"
"8","C","069","450","622276"
"8","O","069","688","469343"
"8","A","070","6730","30180327"
"8","C","070","7999","10344580"
"8","O","070","10558","13432949"
"8","A","071","1369","7355298"
"8","C","071","1324","2879269"
"8","O","071","2140","2678171"
"8","A","072","494","3252200"
"8","C","072","621","1256332"
"8","O","072","892","1062269"
"8","A","073","613","4181210"
"8","C","073","1044","1576017"
"8","O","073","2022","1417926"
"8","A","074","1355","8236922"
"8","C","074","1725","3239660"
