"season","c_m","zip3","ILI","popstat"
"10","A","010","2355","8775144"
"10","C","010","5694","2969286"
"10","O","010","3887","3769681"
"10","A","011","854","2944144"
"10","C","011","1128","1303764"
"10","O","011","1115","1056454"
"10","A","012","322","1731984"
"10","C","012","856","685809"
"10","O","012","584","961340"
"10","A","013","536","1465967"
"10","C","013","683","418542"
"10","O","013","401","462084"
"10","A","014","931","3910106"
"10","C","014","886","1389609"
"10","O","014","777","1365174"
"10","A","015","838","7018014"
"10","C","015","1407","2537427"
"10","O","015","1064","2640279"
"10","A","016","469","3146204"
"10","C","016","1681","1258357"
"10","O","016","1483","1197768"
"10","A","017","927","6851929"
"10","C","017","2211","2588152"
"10","O","017","2053","3041285"
"10","A","018","4982","13150547"
"10","C","018","6677","4964942"
"10","O","018","5845","5754680"
"10","A","019","912","8283610"
"10","C","019","2573","3006584"
"10","O","019","2046","3479823"
"10","A","020","1462","7243753"
"10","C","020","3084","2843382"
"10","O","020","2121","3356584"
"10","A","021","2609","26641617"
"10","C","021","4329","7368951"
"10","O","021","4627","10010907"
"10","A","022","38","182966"
"10","C","022","17","50545"
"10","O","022","19","3550"
"10","A","023","1082","8164678"
"10","C","023","3229","2980032"
"10","O","023","2461","3257208"
"10","A","024","1010","7480596"
"10","C","024","2791","2389931"
"10","O","024","2677","3198800"
"10","A","025","219","1354483"
"10","C","025","630","609466"
"10","O","025","452","716530"
"10","A","026","524","2271165"
"10","C","026","881","717719"
"10","O","026","964","1574157"
"10","A","027","2867","9817661"
"10","C","027","4143","3357704"
"10","O","027","3037","4539437"
"10","A","028","4023","12659353"
"10","C","028","9001","4276167"
"10","O","028","5522","5991588"
"10","A","029","2163","7047705"
"10","C","029","3389","2574669"
"10","O","029","2298","3031124"
"10","A","030","1617","7364960"
"10","C","030","1902","2714470"
"10","O","030","1438","2737807"
"10","A","031","290","1798985"
"10","C","031","316","667287"
"10","O","031","284","651908"
"10","A","032","257","2594319"
"10","C","032","305","868346"
"10","O","032","216","915120"
"10","A","033","33","241740"
"10","C","033","30","106668"
"10","O","033","25","48648"
"10","A","034","78","605999"
"10","C","034","61","189861"
"10","O","034","63","187027"
"10","A","035","27","125649"
"10","C","035","18","32802"
"10","O","035","18","43982"
"10","A","036","27","38539"
"10","C","036","29","15436"
"10","O","036","22","12195"
"10","A","037","164","729412"
"10","C","037","158","217429"
"10","O","037","105","264741"
"10","A","038","2428","6090804"
"10","C","038","2725","2007460"
"10","O","038","2102","2596261"
"10","A","039","143","495499"
"10","C","039","140","156445"
"10","O","039","125","176427"
"10","A","040","936","6026270"
"10","C","040","831","2159082"
"10","O","040","698","2465931"
"10","A","041","372","1674972"
"10","C","041","245","419644"
"10","O","041","265","544388"
"10","A","042","379","2442587"
"10","C","042","373","808802"
"10","O","042","307","795627"
"10","A","043","115","733487"
"10","C","043","94","161543"
"10","O","043","96","247196"
"10","A","044","235","2279267"
"10","C","044","100","456902"
"10","O","044","82","527862"
"10","A","045","199","488701"
"10","C","045","83","92836"
"10","O","045","224","280796"
"10","A","046","60","426867"
"10","C","046","60","155904"
"10","O","046","63","166286"
"10","A","047","17","165785"
"10","C","047","5","21400"
"10","O","047","19","82345"
"10","A","048","105","343978"
"10","C","048","104","115104"
"10","O","048","89","140672"
"10","A","049","277","2297099"
"10","C","049","298","787176"
"10","O","049","217","829616"
"10","A","050","121","535069"
"10","C","050","104","135425"
"10","O","050","100","167289"
"10","A","051","23","73719"
"10","C","051","33","33849"
"10","O","051","30","40913"
"10","A","052","27","93877"
"10","C","052","172","87500"
"10","O","052","94","50819"
"10","A","053","40","173410"
"10","C","053","49","62922"
"10","O","053","70","62094"
"10","A","054","447","3746184"
"10","C","054","428","1382676"
"10","O","054","395","1223816"
"10","A","056","181","877300"
"10","C","056","301","355855"
"10","O","056","216","305648"
"10","A","057","552","1343057"
"10","C","057","407","405112"
"10","O","057","342","472887"
"10","A","058","44","246283"
"10","C","058","81","144718"
"10","O","058","64","125111"
"10","A","059","4","1640"
"10","C","059","3","583"
"10","O","059","1","430"
"10","A","060","2609","12503122"
"10","C","060","2565","4211732"
"10","O","060","2671","5832460"
"10","A","061","1025","5138361"
"10","C","061","807","1956399"
"10","O","061","949","2390911"
"10","A","062","513","2948298"
"10","C","062","604","1084569"
"10","O","062","503","853035"
"10","A","063","690","4791458"
"10","C","063","1273","1600519"
"10","O","063","844","1677487"
"10","A","064","4408","13296557"
"10","C","064","6599","4692657"
"10","O","064","4616","6431393"
"10","A","065","1819","5278257"
"10","C","065","1420","1917850"
"10","O","065","1498","2170032"
"10","A","066","1945","4088731"
"10","C","066","2252","1632826"
"10","O","066","2070","1915655"
"10","A","067","996","6054477"
"10","C","067","2359","2195663"
"10","O","067","1734","2374104"
"10","A","068","1727","8305540"
"10","C","068","6807","3344885"
"10","O","068","5451","3934037"
"10","A","069","512","2086452"
"10","C","069","912","750940"
"10","O","069","1236","753638"
"10","A","070","10530","30701431"
"10","C","070","19133","10228345"
"10","O","070","22871","13794010"
"10","A","071","1985","7542101"
"10","C","071","2335","2853611"
"10","O","071","3503","2972454"
"10","A","072","653","3444649"
"10","C","072","967","1238893"
"10","O","072","1699","1127906"
"10","A","073","1473","4842990"
