"season","c_m","zip3","ILI","popstat"
"5","O","078","2130","2403734"
"5","A","079","1138","4539234"
"5","C","079","1552","1754115"
"5","O","079","1560","1926205"
"5","A","080","1269","21262488"
"5","C","080","1103","8164638"
"5","O","080","1053","8526546"
"5","A","081","128","1593296"
"5","C","081","94","679139"
"5","O","081","78","398022"
"5","A","082","267","3005088"
"5","C","082","252","1391691"
"5","O","082","322","1084140"
"5","A","083","119","2329707"
"5","C","083","191","1268001"
"5","O","083","171","816429"
"5","A","084","24","190977"
"5","C","084","269","309283"
"5","O","084","351","183987"
"5","A","085","540","5308163"
"5","C","085","990","2208154"
"5","O","085","997","1527663"
"5","A","086","103","2493551"
"5","C","086","713","1792148"
"5","O","086","600","972694"
"5","A","087","391","6268740"
"5","C","087","2063","2737895"
"5","O","087","2561","4492658"
"5","A","088","2546","16971520"
"5","C","088","2350","6067574"
"5","O","088","2418","6876948"
"5","A","089","184","1539777"
"5","C","089","165","427766"
"5","O","089","162","272384"
"5","A","100","2882","31873859"
"5","C","100","2130","7256917"
"5","O","100","3395","11660036"
"5","A","101","196","896955"
"5","C","101","160","139618"
"5","O","101","278","241036"
"5","A","102","20","30700"
"5","C","102","1","503"
"5","O","102","14","2983"
"5","A","103","630","8606873"
"5","C","103","504","3077236"
"5","O","103","559","2762522"
"5","A","104","1164","25273617"
"5","C","104","845","10678434"
"5","O","104","1129","9387211"
"5","A","105","2178","12056018"
"5","C","105","3888","4574369"
"5","O","105","4014","5001266"
"5","A","106","192","1085217"
"5","C","106","341","419822"
"5","O","106","454","303112"
"5","A","107","564","4103383"
"5","C","107","139","1074359"
"5","O","107","329","1537748"
"5","A","108","266","1193396"
"5","C","108","141","379761"
"5","O","108","247","396390"
"5","A","109","1067","9517464"
"5","C","109","4520","3988140"
"5","O","109","4030","3338991"
"5","A","110","645","4194887"
"5","C","110","1356","1565038"
"5","O","110","1604","1879242"
"5","A","111","366","4259918"
"5","C","111","358","1009455"
"5","O","111","497","1039678"
"5","A","112","3729","46884773"
"5","C","112","2339","17721252"
"5","O","112","3442","19798328"
"5","A","113","1913","22849476"
"5","C","113","1490","6469656"
"5","O","113","2296","9494765"
"5","A","114","905","13754315"
"5","C","114","378","4609611"
"5","O","114","775","5320902"
"5","A","115","1414","13259586"
"5","C","115","2068","4926007"
"5","O","115","2500","5778030"
"5","A","116","79","773414"
"5","C","116","59","309132"
"5","O","116","109","434119"
"5","A","117","3762","29676721"
"5","C","117","5191","11097591"
"5","O","117","5346","12426340"
"5","A","118","220","978990"
"5","C","118","275","410609"
"5","O","118","327","369331"
"5","A","119","332","3653610"
"5","C","119","660","1578478"
"5","O","119","743","1790654"
"5","A","120","381","5368530"
"5","C","120","370","2063646"
"5","O","120","443","2082943"
"5","A","121","257","4196362"
"5","C","121","143","1304845"
"5","O","121","219","1507399"
"5","A","122","187","1907831"
"5","C","122","66","452008"
"5","O","122","145","624376"
"5","A","123","689","2792681"
"5","C","123","637","1057583"
"5","O","123","533","1223681"
"5","A","124","116","1559195"
"5","C","124","38","258760"
"5","O","124","63","402526"
"5","A","125","629","8210614"
"5","C","125","679","3091000"
"5","O","125","919","2781238"
"5","A","126","49","513449"
"5","C","126","14","71296"
"5","O","126","39","138988"
"5","A","127","45","399940"
"5","C","127","48","205250"
"5","O","127","60","136187"
